dre:449990	no KO assigned | (RefSeq) phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:286831	K06245 laminin, beta 4 | (RefSeq) lamb4, fa05e06, wu:fa05e06; laminin, beta 4
dre:541522	no KO assigned | (RefSeq) rufy3, im:7148884, wu:fj64d11, zgc:110543; RUN and FYVE domain containing 3
dre:567746	K02329 frizzled 3 | (RefSeq) fzd3b, fzd3l; frizzled class receptor 3b
dre:445277	K14380 four and a half LIM domains protein 2 | (RefSeq) fhl2a, zgc:92428; four and a half LIM domains 2a
dre:445318	no KO assigned | (RefSeq) nrros, lrrc33, zgc:100989; negative regulator of reactive oxygen species
dre:286832	K05635 laminin, gamma 1 | (RefSeq) lamc1, sly; laminin, gamma 1
dre:567751	K09103 early B-cell factor | (RefSeq) ebf3a, ebf3, zgc:158829; early B-cell factor 3a
dre:568039	no KO assigned | (RefSeq) ttc7b, wu:fj46e11, zgc:153460; tetratricopeptide repeat domain 7B
dre:445279	no KO assigned | (RefSeq) harbi1, flj32675, zgc:91866; harbinger transposase derived 1
dre:436811	K17549 protein phosphatase 1 regulatory subunit 1C | (RefSeq) ppp1r1c, wu:fk97a08, zgc:92796; protein phosphatase 1, regulatory (inhibitor) subunit 1C
dre:445280	K06508 CD81 antigen | (RefSeq) cd81b, zgc:92411; CD81 molecule b
dre:317643	K04814 nicotinic acetylcholine receptor beta-3 | (RefSeq) chrnb3b, chrnb3; cholinergic receptor, nicotinic, beta 3b (neuronal)
dre:563254	K10470 kelch repeat and BTB domain-containing protein 2 | (RefSeq) kbtbd2, im:7146937, zgc:152954; kelch repeat and BTB (POZ) domain containing 2
dre:568779	K10501 zinc finger and BTB domain-containing protein 20 | (RefSeq) zbtb20, wu:fd42h05, zgc:158317; zinc finger and BTB domain containing 20
dre:317644	K14838 nucleolar protein 15 | (RefSeq) nifk, cb131, chunp6918, fb34b01, mki67ip, mki67ipl, sb:cb131, wu:fb34b01; nucleolar protein interacting with the FHA domain of MKI67
dre:447829	no KO assigned | (RefSeq) cdc42ep3, zgc:92806; CDC42 effector protein (Rho GTPase binding) 3
dre:792832	no KO assigned | (RefSeq) lztr1, si:dkey-98f17.2, wu:fj87c05, zgc:158250; leucine-zipper-like transcription regulator 1
dre:445282	K01326 pancreatic elastase I [EC:3.4.21.36] | (RefSeq) zgc:92041
dre:317678	K11338 RuvB-like protein 2 [EC:3.6.4.12] | (RefSeq) ruvbl2, reptin, wu:fi25f01, zreptin; RuvB-like AAA ATPase 2
dre:503534	K10611 RING-box protein 2 | (RefSeq) rnf7, wu:fj63f04, zgc:110737; ring finger protein 7
dre:571246	K07808 [heparan sulfate]-glucosamine 3-sulfotransferase 2 [EC:2.8.2.29] | (RefSeq) hs3st2; heparan sulfate (glucosamine) 3-O-sulfotransferase 2
dre:142985	K09321 homeobox protein GBX | (RefSeq) gbx1, cb619, fj77a06, wu:fj77a06; gastrulation brain homeobox 1
dre:100002239	no KO assigned | (RefSeq) si:rp71-81e14.2
dre:572527	K19871 sal-like protein | (RefSeq) sall4, cb614, ik:tdsubc_2c1, sb:cb372, sb:cb614, wu:fa01g03, xx:tdsubc_2c1; spalt-like transcription factor 4
dre:393369	no KO assigned | (RefSeq) tmem218, zgc:63675; transmembrane protein 218
dre:317747	K17388 Rho-associated protein kinase 2 [EC:2.7.11.1] | (RefSeq) rock2a, rock2, rok2; rho-associated, coiled-coil containing protein kinase 2a
dre:445285	K03066 26S proteasome regulatory subunit T6 | (RefSeq) psmc5, wu:fa14g03, wu:fb23a11, zgc:92464; proteasome 26S subunit, ATPase 5
dre:791132	K09377 cysteine and glycine-rich protein | (RefSeq) csrp1b, zgc:158737; cysteine and glycine-rich protein 1b
dre:317763	K08866 serine/threonine-protein kinase TTK/MPS1 [EC:2.7.12.1] | (RefSeq) ttk, mps1, ncp; ttk protein kinase
dre:436697	K15380 solute carrier family 48 (heme transporter), member 1 | (RefSeq) slc48a1a, zgc:92662; solute carrier family 48 (heme transporter), member 1a
dre:445286	K20044 phosphatidylinositol-binding clathrin assembly protein | (RefSeq) picalmb, picalm, picalml, wu:fa01d03, wu:fa05d03, wu:fb69g01, wu:fe17e02, zgc:91993; phosphatidylinositol binding clathrin assembly protein b
dre:317765	no KO assigned | (RefSeq) nfe2; nuclear factor, erythroid 2
dre:445287	K00457 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27] | (RefSeq) hpdb, hpd, zgc:92456; 4-hydroxyphenylpyruvate dioxygenase b
dre:791138	K11580 shugoshin-like 1 | (RefSeq) sgol1, zgc:158297; shugoshin-like 1 (S. pombe)
dre:541504	no KO assigned | (RefSeq) igfn1.1, zgc:113358; immunoglobulin-like and fibronectin type III domain containing 1, tandem duplicate 1
dre:326283	no KO assigned | (RefSeq) smad3b, madh3b, zgc:92234; SMAD family member 3b
dre:415168	K02924 large subunit ribosomal protein L39e | (RefSeq) rpl39, wu:fb09f11, zgc:92371; ribosomal protein L39
dre:791139	no KO assigned | (RefSeq) zgc:158464
dre:445288	K00248 butyryl-CoA dehydrogenase [EC:1.3.8.1] | (RefSeq) acads, wu:fc44c01, zgc:92400; acyl-CoA dehydrogenase, C-2 to C-3 short chain
dre:326287	no KO assigned | (RefSeq) epb41b, P4.1R, epb41, wu:fb70c02; erythrocyte membrane protein band 4.1b
dre:406271	K03521 electron transfer flavoprotein beta subunit | (RefSeq) etfb, wu:fa96b05, wu:fb02d07, wu:fb18b10, zgc:56177; electron-transfer-flavoprotein, beta polypeptide
dre:791141	no KO assigned | (RefSeq) zgc:158659
dre:402883	K02130 F-type H+-transporting ATPase subunit f | (RefSeq) atp5j2, im:7148816, si:ch211-194i10.5; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2
dre:437019	K01965 propionyl-CoA carboxylase alpha chain [EC:6.4.1.3] | (RefSeq) pcca, wu:fb92g02, zgc:100925; propionyl CoA carboxylase, alpha polypeptide
dre:445289	K07827 GTPase Kras | (RefSeq) kras, wu:fa04e08, wu:fc14b12, wu:fc23g10, wu:fj89d12, zgc:85725; v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
dre:192328	K12836 splicing factor U2AF 35 kDa subunit | (RefSeq) u2af1, CHUNP6860, zgc:111896; U2 small nuclear RNA auxiliary factor 1
dre:503535	no KO assigned | (RefSeq) fam65c, si:dkey-107i16.2, zgc:113070; family with sequence similarity 65, member C
dre:445290	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] | (RefSeq) acat1, fd16h07, fd20g06, wu:fd16h07, wu:fd20g06, zgc:86832; acetyl-CoA acetyltransferase 1
dre:791142	no KO assigned | (RefSeq) sacm1lb, SACM1L, sacm1la, wu:fc56f05, zgc:158642; SAC1 suppressor of actin mutations 1-like b (yeast)
dre:114412	no KO assigned | (RefSeq) lmo4a, NH13, id:ibd2576, id:ibd5151, lmo4; LIM domain only 4a
dre:548342	no KO assigned | (RefSeq) zgc:113209
dre:445291	K03942 NADH dehydrogenase (ubiquinone) flavoprotein 1 [EC:1.6.5.3 1.6.99.3] | (RefSeq) ndufv1, wu:fc01f01, wu:fc12f12, zgc:86620; NADH dehydrogenase (ubiquinone) flavoprotein 1
dre:791144	K00280 lysyl oxidase-like protein 2/3/4 [EC:1.4.3.-] | (RefSeq) loxl2b, im:7136137, si:dkeyp-32b1.1, wu:fk12g04, zgc:158414; lysyl oxidase-like 2b
dre:245703	no KO assigned | (RefSeq) atp1a1a.5, cb709; ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 5
dre:325288	K09085 class B basic helix-loop-helix protein 1/6/7 | (RefSeq) olig2, wu:fc64g09; oligodendrocyte lineage transcription factor 2
dre:791147	no KO assigned | (RefSeq) zgc:158868
dre:368450	no KO assigned | (RefSeq) ing5b, ING1, p33, si:busm1-40g1.1, si:dz40g1.1, wu:fc94a02, zgc:100910; inhibitor of growth family, member 5b
dre:554106	K18732 SAP domain-containing ribonucleoprotein | (RefSeq) sarnp, wu:fb11c11, zgc:109957; SAP domain containing ribonucleoprotein
dre:791148	no KO assigned | (RefSeq) gpatch3, zgc:158863; G patch domain containing 3
dre:337865	K09995 homeobox protein Nkx-3.2 | (RefSeq) nkx3.2, bapx1; NK3 homeobox 2
dre:445184	no KO assigned | (RefSeq) lpar2a, zgc:101053; lysophosphatidic acid receptor 2a
dre:445297	K04634 guanine nucleotide-binding protein G(q) subunit alpha | (RefSeq) gna14, si:ch73-270f14.1, zgc:100897; guanine nucleotide binding protein (G protein), alpha 14
dre:327372	no KO assigned | (RefSeq) brd3a, brd3, fc01d09, fc74a08, fi36b10, wu:fa13h06, wu:fc01d09, wu:fc74a08, wu:fi04h10, wu:fi36b10; bromodomain containing 3a
dre:30308	K01357 wingless-type MMTV integration site family, member 10 | (RefSeq) wnt10b, Zwnt[d], wnt10br, wnt[d]; wingless-type MMTV integration site family, member 10b
dre:791149	no KO assigned | (RefSeq) rd3, si:dkey-249p7.1, zgc:158792; retinal degeneration 3
dre:30554	K16342 cytosolic phospholipase A2 [EC:3.1.1.4] | (RefSeq) pla2g4aa, PLA2G4A, cpla2, pla2g4; phospholipase A2, group IVAa (cytosolic, calcium-dependent)
dre:445300	K11344 chromatin modification-related protein EAF6 | (RefSeq) meaf6, fj63g06, wu:fj63g06, zgc:100869; MYST/Esa1-associated factor 6
dre:352920	K05243 oxytocin-neurophysin 1 | (RefSeq) oxt, IT-NP, fj33a01, itnp, oxtl, wu:fj33a01, wu:fq40d10; oxytocin
dre:445499	K18727 transportin-2 | (RefSeq) tnpo2, ik:tdsubc_2a7, tdsubc_2a7, wu:fb01c02, wu:fe01f03, wu:fe16e12, xx:tdsubc_2a7, zgc:101009; transportin 2 (importin 3, karyopherin beta 2b)
dre:791152	K16339 thioesterase superfamily member 4 | (RefSeq) them4, zgc:158847; thioesterase superfamily member 4
dre:352922	K05242 arginine vasopressin | (RefSeq) avp, VT-NP, avpl, vsnp; arginine vasopressin
dre:100333543	K01528 dynamin GTPase [EC:3.6.5.5] | (RefSeq) dnm1b, dnm1, si:ch73-310g9.3; dynamin 1b
dre:445301	K18932 palmitoyltransferase [EC:2.3.1.225] | (RefSeq) zdhhc23b, zdhhc23, zgc:100848; zinc finger, DHHC-type containing 23b
dre:572849	K11429 histone-lysine N-methyltransferase SUV420H [EC:2.1.1.43] | (RefSeq) suv420h1, kmt5b, wu:fb97g06, wu:fi57g03, zgc:103527; suppressor of variegation 4-20 homolog 1 (Drosophila)
dre:352930	K16797 zinc finger protein GLI1 | (RefSeq) gli1; GLI family zinc finger 1
dre:791153	K12474 low density lipoprotein receptor adapter protein 1 | (RefSeq) ldlrap1b, zgc:158745; low density lipoprotein receptor adaptor protein 1b
dre:445302	K12880 THO complex subunit 3 | (RefSeq) thoc3, zgc:100815; THO complex 3
dre:558926	no KO assigned | (RefSeq) zgc:171490
dre:352934	K09026 neuronal PAS domain-containing protein 2 | (RefSeq) npas2, zfCLOCK2; neuronal PAS domain protein 2
dre:791156	K15101 solute carrier family 25 (mitochondrial ornithine transporter) member 2/15 | (RefSeq) slc25a15a, zgc:158707; solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15a
dre:550455	K16174 small subunit ribosomal protein S18b, mitochondrial | (RefSeq) mrps18b, wu:fj45h02, zgc:112517; mitochondrial ribosomal protein S18B
dre:445305	K05755 actin related protein 2/3 complex, subunit 4 | (RefSeq) arpc4l, wu:fb63b05, zgc:101093; actin related protein 2/3 complex, subunit 4, like
dre:352935	K02296 aryl hydrocarbon receptor nuclear translocator-like protein 1 | (RefSeq) arntl1b, bmal1b, zfBMAL3; aryl hydrocarbon receptor nuclear translocator-like 1b
dre:337767	K06243 laminin, beta 2 | (RefSeq) lamb2, si:dkey-32e6.2; laminin, beta 2 (laminin S)
dre:100136855	K09275 transcription factor CP2 and related proteins | (RefSeq) ubp1, si:ch211-207c15.3; upstream binding protein 1 (LBP-1a)
dre:791160	K17608 striatin 1/3/4 | (RefSeq) strn, zgc:158357; striatin, calmodulin binding protein
dre:799294	K11453 chromobox protein 6 | (RefSeq) cbx6a, cbx6, zgc:101049; chromobox homolog 6a
dre:445043	K12868 pre-mRNA-splicing factor SYF2 | (RefSeq) syf2, hm:zeh0031, zeh0031, zgc:113871, zgc:92835; SYF2 pre-mRNA-splicing factor
dre:352939	no KO assigned | (RefSeq) pnx; posterior neuron-specific homeobox
dre:791163	no KO assigned | (RefSeq) cmtm8b, zgc:158657; CKLF-like MARVEL transmembrane domain containing 8b
dre:450013	K07766 diphosphoinositol-polyphosphate diphosphatase [EC:3.6.1.52] | (RefSeq) nudt3b, zgc:103443; nudix (nucleoside diphosphate linked moiety X)-type motif 3b
dre:445316	K08824 cyclin-dependent kinase-like [EC:2.7.11.22] | (RefSeq) cdkl1, zgc:101002; cyclin-dependent kinase-like 1 (CDC2-related kinase)
dre:791164	K06567 CD226 antigen | (RefSeq) cd226, zgc:158817; CD226 molecule
dre:550228	no KO assigned | (RefSeq) golga7ba, golga7b, zgc:110549; golgin A7 family, member Ba
dre:352942	no KO assigned | (RefSeq) rapsn, rapsyn; receptor-associated protein of the synapse, 43kD
dre:445319	no KO assigned | (RefSeq) ncaldb, ncald, zgc:100982; neurocalcin delta b
dre:791165	no KO assigned | (RefSeq) r3hdm4, zgc:158644; R3H domain containing 4
dre:393631	no KO assigned | (RefSeq) ccdc43, zgc:66277; coiled-coil domain containing 43
dre:100190901	no KO assigned | (RefSeq) slco1f2, zgc:175286; solute carrier organic anion transporter family, member 1F2
dre:791166	K17808 mitochondrial protein import protein ZIM17 | (RefSeq) dnlz, zgc:158228; DNL-type zinc finger
dre:445322	K09674 carbohydrate 3-sulfotransferase 10 [EC:2.8.2.-] | (RefSeq) chst10, zgc:100964; carbohydrate sulfotransferase 10
dre:445203	no KO assigned | (RefSeq) mnd1, zgc:101017; meiotic nuclear divisions 1 homolog (S. cerevisiae)
dre:791170	no KO assigned | (RefSeq) nol4lb, wu:fa08e04, zgc:158791; nucleolar protein 4-like b
dre:100148916	K11842 ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12] | (RefSeq) usp46, si:ch73-16a12.1; ubiquitin specific peptidase 46
dre:554488	no KO assigned | (RefSeq) ypel1, zgc:100954; yippee-like 1
dre:352910	K10645 E3 ubiquitin-protein ligase mind-bomb [EC:2.3.2.27] | (RefSeq) mib1, cg5841, chunp6889, fe47f05, im:7148100, mib, wu:fe47f05; mindbomb E3 ubiquitin protein ligase 1
dre:569980	K00167 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4] | (RefSeq) bckdhb, zgc:158777; branched chain keto acid dehydrogenase E1, beta polypeptide
dre:799361	K11455 chromobox protein 8 | (RefSeq) cbx8b, im:7138386, zgc:111978; chromobox homolog 8b
dre:445324	no KO assigned | (RefSeq) tango2, wu:fj48d05, zgc:100952; transport and golgi organization 2 homolog (Drosophila)
dre:791173	no KO assigned | (RefSeq) pnpla7a, zgc:158748; patatin-like phospholipase domain containing 7a
dre:436973	K19176 fatty acid amide hydrolase 2 [EC:3.5.1.99] | (RefSeq) faah2a, zgc:92625; fatty acid amide hydrolase 2a
dre:317734	K08551 estrogen receptor beta | (RefSeq) esr2a, ER[b]2, ER[b]a, zfER-beta2, zfER[b]2; estrogen receptor 2a
dre:368851	no KO assigned | (RefSeq) coch, si:dz234g15.4; coagulation factor C homolog, cochlin (Limulus polyphemus)
dre:338101	K04666 nodal | (RefSeq) spaw; southpaw
dre:556318	no KO assigned | (RefSeq) noxa1, zgc:110089; NADPH oxidase activator 1
dre:791179	no KO assigned | (RefSeq) tm6sf2, si:dkey-19f23.3, zgc:158825; transmembrane 6 superfamily member 2
dre:450077	K01619 deoxyribose-phosphate aldolase [EC:4.1.2.4] | (RefSeq) dera, zgc:101610; deoxyribose-phosphate aldolase (putative)
dre:541358	no KO assigned | (RefSeq) zgc:110782
dre:791182	no KO assigned | (RefSeq) sfxn3, zgc:158660; sideroflexin 3
dre:791183	no KO assigned | (RefSeq) fam149b1, zgc:158651; family with sequence similarity 149, member B1
dre:353223	K05251 thyroid stimulating hormone, beta | (RefSeq) tshba, tshb; thyroid stimulating hormone, beta subunit, a
dre:321585	K03064 26S proteasome regulatory subunit T4 | (RefSeq) psmc6, fb20g04, wu:fb20g04, wu:fc85c10; proteasome 26S subunit, ATPase 6
dre:791185	K14700 solute carrier family 26 (sulfate anion transporter), member 1 | (RefSeq) slc26a1, sb:cb565, wu:fe23c03, zgc:158435; solute carrier family 26 (anion exchanger), member 1
dre:353295	K11647 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 2/4 [EC:3.6.4.-] | (RefSeq) smarca4a, brg1, smarca2, smarca4, wu:fb51a08; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4a
dre:100038768	no KO assigned | (RefSeq) znf362b, zgc:162623; zinc finger protein 362b
dre:437014	K01260 aminopeptidase B [EC:3.4.11.6] | (RefSeq) rnpep, zgc:100971; arginyl aminopeptidase (aminopeptidase B)
dre:353294	no KO assigned | (RefSeq) szl, sfrp, slz; sizzled
dre:791187	K15409 serine/threonine-protein kinase SRPK1 [EC:2.7.11.1] | (RefSeq) srpk1b, zgc:158800; SRSF protein kinase 1b
dre:324554	K14403 cleavage and polyadenylation specificity factor subunit 3 [EC:3.1.27.-] | (RefSeq) cpsf3, si:dkey-81b15.1, wu:fc32f10, zgc:101655; cleavage and polyadenylation specific factor 3
dre:353313	K09401 forkhead box protein I | (RefSeq) foxi1, cb724, foo; forkhead box i1
dre:449538	K06773 opioid binding protein/cell adhesion molecule-like | (RefSeq) opcml, zgc:92901; opioid binding protein/cell adhesion molecule-like
dre:326875	no KO assigned | (RefSeq) cby1, LRP, fe37g01, wu:fe37g01; chibby homolog 1 (Drosophila)
dre:791188	K02513 heparan sulfate 2-O-sulfotransferase HS2ST1 [EC:2.8.2.-] | (RefSeq) hs2st1a, 2-OST, 2OST, HS2st, hs2st1, im:7147474, zgc:158230; heparan sulfate 2-O-sulfotransferase 1a
dre:335134	K09091 hairy and enhancer of split related with YRPW motif | (RefSeq) heyl, fk74e12, wu:fk74e12; hes-related family bHLH transcription factor with YRPW motif-like
dre:556186	no KO assigned | (RefSeq) nt5dc2, im:6907673, wu:fb83e03, wu:fe11h11, zgc:153357; 5'-nucleotidase domain containing 2
dre:335049	K14823 rRNA-processing protein EBP2 | (RefSeq) ebna1bp2, ebna1bp2l, fa12d07, wu:fa12d07; EBNA1 binding protein 2
dre:791189	K01197 hyaluronoglucosaminidase [EC:3.2.1.35] | (RefSeq) hyal6, zgc:158626; hyaluronoglucosaminidase 6
dre:445246	K11481 aurora kinase A [EC:2.7.11.1] | (RefSeq) aurka, wu:fb37c10, wu:fc02c02, zgc:100912; aurora kinase A
dre:334724	K17091 annexin A1 | (RefSeq) anxa1a, anx1a, anxa1, wu:fa01d11, wu:fa05d11, wu:fk69h01; annexin A1a
dre:335191	K02137 F-type H+-transporting ATPase subunit O | (RefSeq) atp5o, wu:fk86d05, zgc:109976; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit
dre:541444	K07562 nonsense-mediated mRNA decay protein 3 | (RefSeq) nmd3, nmd3l, zgc:113103; NMD3 ribosome export adaptor
dre:353358	no KO assigned | (RefSeq) anxa1b, anx1b, wu:fa16b09, zgc:109778; annexin A1b
dre:791190	no KO assigned | (RefSeq) tmem266, zgc:158624; transmembrane protein 266
dre:337298	K14607 extracellular sulfatase Sulf [EC:3.1.6.-] | (RefSeq) sulf1, wu:fk14e08; sulfatase 1
dre:447877	no KO assigned | (RefSeq) lmod2a, zgc:103424; leiomodin 2 (cardiac) a
dre:353365	K17095 annexin A7/11 | (RefSeq) anxa11b, anx11b, cb755, hm:zeh0376; annexin A11b
dre:791191	no KO assigned | (RefSeq) dachd, si:ch211-176j8.3, zgc:158869; dachshund d
dre:327497	no KO assigned | (RefSeq) fi14d06, wu:fi14d06; zgc:66473
dre:65089	no KO assigned | (RefSeq) fgf8b, fgf17, fgf17a; fibroblast growth factor 8 b
dre:445373	K05425 interleukin 12B | (RefSeq) il12ba, IL-12_p40, il12b, il12p40.b, zgc:152789; interleukin 12Ba
dre:791192	K12030 tripartite motif-containing protein 62 [EC:2.3.2.27] | (RefSeq) trim62, zgc:158653; tripartite motif containing 62
dre:445137	no KO assigned | (RefSeq) fam151b, zgc:100861; family with sequence similarity 151, member B
dre:171479	K17337 cellular retinoic acid-binding protein 1 | (RefSeq) crabp1a, crabp1, zgc:110497; cellular retinoic acid binding protein 1a
dre:445374	K06775 neuronal growth regulator 1 | (RefSeq) negr1, zgc:100871; neuronal growth regulator 1
dre:559150	K17341 hemicentin | (RefSeq) hmcn1, si:ch211-169j21.3; hemicentin 1
dre:171480	K17289 cellular retinoic acid-binding protein 2 | (RefSeq) crabp2a, cb432, cb434, crabp2, sb:cb434, wu:fc51a11, zgc:110496; cellular retinoic acid binding protein 2, a
dre:445376	K00778 beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 1) [EC:2.4.99.1] | (RefSeq) st6gal1, siat1, zgc:136454; ST6 beta-galactosamide alpha-2,6-sialyltranferase 1
dre:402974	K09357 paired-like homeodomain transcription factor 3 | (RefSeq) pitx3, zgc:109716; paired-like homeodomain 3
dre:260437	K08737 DNA mismatch repair protein MSH6 | (RefSeq) msh6, cb326, wu:fb36c12; mutS homolog 6 (E. coli)
dre:553654	no KO assigned | (RefSeq) nudcd1, im:6901299, im:6912119, wu:fc11c02, zgc:110705; NudC domain containing 1
dre:317732	K19998 sec1 family domain-containing protein 1 | (RefSeq) scfd1, SI:dZ115O7.1, SI:dZ234G15.3, SI:dZ234G15.4, SI:dZ234G15.5, SI:dZ234G15.7, dZ234G15.2, si:busm1-234g15.2, si:dz234g15.2, sly1; sec1 family domain containing 1
dre:791200	no KO assigned | (RefSeq) lrrc15, cb894, zgc:158286; leucine rich repeat containing 15
dre:100136856	no KO assigned | (RefSeq) vetz, si:ch211-95o16.2, si:ct573048.2; vezatin, adherens junctions transmembrane protein
dre:321545	K03911 antithrombin III | (RefSeq) serpinc1, wu:fb18f10, zgc:92299; serpin peptidase inhibitor, clade C (antithrombin), member 1
dre:337663	no KO assigned | (RefSeq) mxe, wu:fj93f01, zgc:111895; myxovirus (influenza virus) resistance E
dre:503758	K15115 solute carrier family 25 (mitochondrial folate transporter), member 32 | (RefSeq) slc25a32b, zgc:110786; solute carrier family 25 (mitochondrial folate carrier), member 32b
dre:791202	K03871 von Hippel-Lindau disease tumor supressor | (RefSeq) vhl, zgc:158722; von Hippel-Lindau tumor suppressor
dre:445380	K06476 integrin alpha 2B | (RefSeq) itga2b, si:dkey-27b3.6; integrin, alpha 2b
dre:359834	K13375 transforming growth factor beta-1 | (RefSeq) tgfb1a, ai39657, tgfb1, wu:fb13a07, xx:ai39657; transforming growth factor, beta 1a
dre:791203	no KO assigned | (RefSeq) spam1, im:6902904, zgc:158668; sperm adhesion molecule 1
dre:572690	K10418 dynein light chain LC8-type | (RefSeq) dynll2b, dnl2l, zgc:110812; dynein, light chain, LC8-type 2b
dre:445381	K05082 thrombopoietin receptor | (RefSeq) mpl, c-mpl, mpll, tpor, tpor.b; MPL proto-oncogene, thrombopoietin receptor
dre:791204	no KO assigned | (RefSeq) tmem205, zgc:158860; transmembrane protein 205
dre:359835	no KO assigned | (RefSeq) timp2a, etID32613.12, fa96h09, timp2, wu:fa96h09, zgc:136726; TIMP metallopeptidase inhibitor 2a
dre:437006	K16656 neurexophilin-1 | (RefSeq) nxph1, zgc:101108; neurexophilin 1
dre:791205	K18258 thiomorpholine-carboxylate dehydrogenase [EC:1.5.1.25] | (RefSeq) crym, zgc:158843; crystallin, mu
dre:445383	K12873 bud site selection protein 31 | (RefSeq) bud31, g10l, zgc:110615; BUD31 homolog (S. cerevisiae)
dre:336702	K02940 large subunit ribosomal protein L9e | (RefSeq) rpl9, ab02c03, fa93a01, mg:ab02c03, wu:fa93a01, zgc:103730; ribosomal protein L9
dre:359839	K02147 V-type H+-transporting ATPase subunit B | (RefSeq) atp6v1ba, cb927, fb52g11, vatB1, wu:fb52g11; ATPase, H+ transporting, lysosomal, V1 subunit B, member a
dre:791206	no KO assigned | (RefSeq) pdk3b, zgc:158702; pyruvate dehydrogenase kinase, isozyme 3b
dre:541514	no KO assigned | (RefSeq) hhla2a.1, zgc:113255; HERV-H LTR-associating 2a, tandem duplicate 1
dre:445385	K10756 replication factor C subunit 3/5 | (RefSeq) rfc5, zgc:110313; replication factor C (activator 1) 5
dre:503763	K06630 14-3-3 protein epsilon | (RefSeq) ywhae2, im:7138781, zgc:113329; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 2
dre:359841	K03912 heparin cofactor II | (RefSeq) serpind1, HCII; serpin peptidase inhibitor, clade D (heparin cofactor), member 1
dre:791209	no KO assigned | (RefSeq) zgc:158254
dre:445386	K11547 kinetochore protein NDC80 | (RefSeq) ndc80, kntc2l, wu:fb52e02, zgc:111801; NDC80 kinetochore complex component
dre:437027	K07861 Ras-related C3 botulinum toxin substrate 3 | (RefSeq) rac3a, rac3, zgc:100831; ras-related C3 botulinum toxin substrate 3a (rho family, small GTP binding protein Rac3)
dre:405773	K09448 transcriptional enhancer factor | (RefSeq) tead1a, tead1, zgc:63696; TEA domain family member 1a
dre:445387	K14807 ATP-dependent RNA helicase DDX51/DBP6 [EC:3.6.4.13] | (RefSeq) ddx51, zgc:111800; DEAD (Asp-Glu-Ala-Asp) box polypeptide 51
dre:360137	no KO assigned | (RefSeq) dixdc1a, ccd1, dixdc1; DIX domain containing 1a
dre:791211	K02967 small subunit ribosomal protein S2 | (RefSeq) mrps2, zgc:158760; mitochondrial ribosomal protein S2
dre:360138	no KO assigned | (RefSeq) pcdh10b, pcdh10, wu:fq16b02; protocadherin 10b
dre:445388	K11108 RNA 3'-terminal phosphate cyclase-like protein | (RefSeq) rcl1, zgc:109921; RNA terminal phosphate cyclase-like 1
dre:83496	K10162 BMP and activin membrane-bound inhibitor | (RefSeq) bambia, Zfnma, bambi, cb998, fc44c12, id:ibd5020, nma, wu:fc44c12, wu:fe01e03; BMP and activin membrane-bound inhibitor (Xenopus laevis) homolog a
dre:445170	K03013 DNA-directed RNA polymerases I, II, and III subunit RPABC1 | (RefSeq) polr2eb, polr2e, wu:fk97g10, zgc:101098; polymerase (RNA) II (DNA directed) polypeptide E, b
dre:791212	K12958 caveolin 2 | (RefSeq) im:7153080; zgc:158296
dre:571467	K04922 potassium channel subfamily K member 13 | (RefSeq) kcnk13a, zgc:171694; potassium channel, subfamily K, member 13a
dre:360149	K05638 nuclear factor erythroid 2-related factor 2 | (RefSeq) nfe2l2a, Nrf2, nfe2l2, wu:fc15g09, wu:fj67e03; nuclear factor, erythroid 2-like 2a
dre:445389	K09191 general transcription factor IIIA | (RefSeq) gtf3aa, TFIIIA, gtf3a, zgc:111799; general transcription factor IIIAa
dre:503772	K04167 angiotensin II receptor type 2 | (RefSeq) agtr2, zgc:113016; angiotensin II receptor, type 2
dre:323424	no KO assigned | (RefSeq) sult1st1, fb98b02, fk46b09, wu:fb98b02, wu:fk46b09; sulfotransferase family 1, cytosolic sulfotransferase 1
dre:445392	K10292 F-box protein 5 | (RefSeq) fbxo5, emi1, fc65h02, wu:fc65h02, wu:fe06e07, wu:fz79f03, zgc:136397, zgc:158541; F-box protein 5
dre:58215	K01772 protoporphyrin/coproporphyrin ferrochelatase [EC:4.99.1.1 4.99.1.9] | (RefSeq) fech, fch, zgc:109851; ferrochelatase
dre:327379	K02183 calmodulin | (RefSeq) calm3a, CaMgamma, calm2g, wu:fi05b08, zgc:86728; calmodulin 3a (phosphorylase kinase, delta)
