path:cel00523	Polyketide sugar unit biosynthesis	C14F11.6 F53B1.4 
path:cel01100	Metabolic pathways	Y51H4A.7 gss-1 R05D11.9 ckb-3 T22F3.3 rpb-5 Y62E10A.13 cytochrome c oxidase subunit I cyc-2.2 vha-19 cka-2 cyc-1 nuo-6 isp-1 pfk-1.1 daf-22 acdh-3 mdh-1 ucr-2.1 Y53G8AL.2 dgk-3 F59C6.5 mans-3 gas-1 F53C3.13 acs-2 acaa-2 Y39E4A.3 dpyd-1 rpb-9 ZC513.5 ZC373.5 rib-1 E02H1.6 mce-1 pri-2 gly-16 T09B4.8 nnt-1 ugt-62 C32F10.8 cth-1 sptl-3 gly-2 rpac-19 F45H10.3 dhs-21 bgal-1 C18E9.4 T02G5.7 F01G4.5 F10G8.9 rpb-4 coq-5 gro-1 umps-1 gcst-1 acs-15 sdhd-1 M01F1.3 W06B4.2 C25H3.9 qns-1 metr-1 gln-5 F44G4.2 egl-8 vha-13 cdgs-1 vha-7 rnr-2 upp-1 hpo-18 Y39G8B.1 acl-11 crls-1 Y105C5B.3 K01C8.1 rpc-1 dgk-1 F09G2.8 H28O16.1 idha-1 cox-10 alh-4 fah-1 plc-4 ugt-48 lpin-1 unc-32 spe-5 qars-1 R53.4 pdha-1 cco-2 acs-16 vha-17 ZK697.8 dlst-1 C16A3.5 T05G5.5 R151.2 alh-1 cox-17 F17C11.7 C14A4.3 acs-19 dlat-1 Y82E9BR.3 kat-1 F21D5.1 hyl-1 Y24D9A.8 pck-1 acl-5 F45H10.2 tatn-1 ipp-5 sucg-1 gcs-1 gly-3 R102.4 asg-2 R05D3.6 B0001.4 ech-1.2 Y43F4B.5 nkat-3 cth-2 F33D4.4 C39D10.3 R04B5.6 F54C8.1 sqv-2 F08F8.7 ZC262.5 rpb-6 nduf-5 gfat-1 Y54F10AM.5 mvk-1 spds-1 B0250.5 NADH dehydrogenase subunit 1 dgk-5 cdd-2 ugt-61 acdh-12 cdo-1 F40F8.1 pps-1 ZC395.10 alh-5 Y51H7C.9 Y106G6E.4 pyc-1 ard-1 vha-16 piki-1 gpi-1 rpoa-12 rpc-25 ZK686.3 unc-26 tkt-1 acl-8 hacd-1 mlcd-1 ahcy-1 mdh-2 ech-8 gmd-2 rpb-3 hdl-1 fbp-1 basl-1 pgk-1 acox-1 dhp-2 sqv-5 ears-2 thk-1 K09H11.7 C08H9.3 atic-1 acs-17 hpo-4 bcat-1 Y48A6B.9 ger-1 NADH dehydrogenase subunit 6 algn-11 F49H6.5 inos-1 acdh-8 gmps-1 cysl-1 spl-1 Y71H2AM.4 sodh-1 rpoa-2 gfat-2 hgo-1 B0303.3 B0228.7 mecr-1 hprt-1 gln-6 F10F2.2 F52C9.3 vha-11 sqv-3 D2063.1 T25B9.9 ucr-2.3 ptps-1 rpac-40 pfk-1.2 F19G12.2 R04F11.3 stdh-2 dhs-25 Y47D3A.29 tdc-1 T26C5.3 pacs-1 R07E4.3 NADH dehydrogenase subunit 4L T20H4.5 gly-14 pges-2 F59F4.1 dtmk-1 ampd-1 nuo-3 lpd-5 asb-1 asb-2 C07E3.9 Y37B11A.2 pah-1 sdhb-1 aman-2 ribo-1 ugt-46 nduf-7 ech-6 rpb-7 alh-6 drd-1 Y56A3A.19 nmat-2 F57C9.1 C15B12.1 Y51H1A.3 R12C12.1 sptl-1 C08B11.8 rpb-12 coq-3 gly-7 C14F11.6 ech-1.1 coq-6 pole-2 atp-3 F53B1.4 rpb-2 ech-9 nuo-4 coq-2 ipla-2 sms-1 F25H9.6 ttm-5 acl-6 pdhb-1 fdps-1 sodh-2 F54D7.2 sdha-2 vha-4 tag-335 seld-1 Y53G8B.1 C29F7.3 hmgr-1 B0513.5 cgt-1 dad-1 F54D5.7 let-754 R11F4.1 B0205.6 Y69A2AR.18 acs-3 C53A3.2 gcsh-1 R04F11.2 pifk-1 Y75B8A.24 ZK643.2 acs-13 nduf-6 F09F7.4 asns-1 ckb-2 fum-1 gba-1 mtm-3 Y71F9B.9 F08A8.4 cat-4 pssy-1 sms-2 F52H2.6 let-611 hex-1 idh-1 E01A2.1 tyr-4 tre-3 asm-3 T19B4.3 flad-1 gdh-1 acs-5 F37C12.3 pyr-1 algn-13 acly-2 Y71G12B.10 gba-2 alh-7 acs-18 tpi-1 cgt-2 asm-2 F25E2.3 F44E7.2 D2030.4 rpc-2 pck-2 gst-42 C53D5.5 F53F4.10 C38H2.2 F29C4.2 ipgm-1 ppk-3 NADH dehydrogenase subunit 3 dao-3 ndk-1 hpd-1 acl-9 sms-3 aagr-1 upb-1 acl-2 Y71H2AM.6 agl-1 ugt-55 sams-4 ppk-1 cox-15 mboa-3 suca-1 alh-12 pisy-1 dpm-3 lagr-1 cyc-2.1 enol-1 ama-1 ZK632.4 sams-3 ZC416.6 vps-34 Y71H10B.1 mmab-1 stdh-1 asg-1 cbl-1 Y10G11A.1 C50D2.7 C34B2.8 F42F12.4 mtm-1 K10D2.7 mtm-6 gst-43 tag-173 T26E3.7 T27F6.6 nuo-2 vha-14 rpb-8 qdpr-1 algn-1 piga-1 T22C1.3 mmcm-1 pccb-1 bre-1 F13H8.9 idhg-2 glna-3 ugt-23 C24A3.4 pole-1 Y54E10BR.1 pld-1 cht-1 ppat-1 T20D3.8 rib-2 C05C8.7 fasn-1 Y71H2AM.5 sucl-1 acl-1 C31C9.2 ppt-1 hyl-2 nuo-1 Y41D4A.6 vha-10 ZK809.3 gale-1 klo-1 rpia-1 aagr-3 ivd-1 gst-11 sdha-1 F52A8.5 C36A4.4 sptl-2 NADH dehydrogenase subunit 4 pod-2 paf-1 cgt-3 C01B4.6 pcyt-1 K07E3.4 NADH dehydrogenase subunit 5 ipla-3 mpst-1 ctps-1 nduf-2.2 tpk-1 sams-1 sams-5 B0491.1 F55G1.9 ckc-1 Y6B3B.5 alh-8 gly-10 hxk-1 hmgs-1 alh-9 gln-1 sqv-1 dhod-1 ucr-11 acox-3 vha-12 cytochrome b ZK673.2 ears-1 sqv-4 ZK795.1 C16A3.10 adss-1 agxt-1 ZK669.4 pri-1 T03D8.6 adsl-1 W02H5.8 F38B6.4 tre-5 F58F9.7 M153.1 acdh-7 F31D4.9 C13B9.2 algn-2 vha-2 idh-2 Y63D3A.7 Y53F4B.3 vha-3 C31H2.4 K08E3.5 C52A10.2 K02D10.1 R02D3.1 gly-13 mel-32 dhs-13 F58F12.1 ostb-1 aco-1 C10C5.5 Y44A6D.5 W07E11.1 tdo-2 atp-5 clk-1 ucr-2.2 dut-1 gln-3 T22D1.3 haly-1 Y37E3.11 vha-1 T24C4.5 odc-1 F42G8.10 Y66D12A.7 algn-7 F52B11.2 F26E4.6 gspd-1 aagr-4 mboa-2 ckb-1 K02D7.1 acdh-4 gly-12 Y57G11C.3 cbs-1 div-1 R07H5.8 mans-1 ads-1 pyk-1 paf-2 lis-1 ugt-58 mogs-1 H24K24.3 ZC8.6 dld-1 Y19D10A.16 ndx-9 guk-1 tag-174 got-2.2 Y65B4A.8 acly-1 C30H6.7 gpd-3 rpb-10 pcca-1 ldh-1 T27E9.2 T03F6.3 vha-6 gta-1 haao-1 gpd-2 vha-15 hpo-5 NADH dehydrogenase subunit 2 T04A8.7 smd-1 idi-1 C27A12.9 ogdh-1 C34C6.4 C45G3.3 stt-3 mig-22 ZK1058.3 tag-231 cco-1 ugt-50 cytochrome c oxidase subunit III cysl-4 Y17G7B.10 ttx-7 acl-4 H43I07.3 fut-8 cdd-1 idhg-1 acs-4 cox-11 ges-1 lap-2 Y7A9A.1 hpo-3 dpm-1 daao-1 bre-4 F41E6.5 hse-5 aldo-2 pnk-4 asm-1 ugt-56 dhfr-1 plc-3 F26H9.5 let-767 sqv-6 plc-1 Y105E8B.9 dpy-18 mthf-1 T27A3.6 gba-4 acs-6 polg-1 phy-2 nuo-5 F55B11.1 W09C3.4 Y71D11A.3 F10C2.4 glna-2 gpd-1 mev-1 cytochrome c oxidase subunit II unc-25 R04B5.5 mans-4 cts-1 acox-5 F49E2.1 F57B9.1 tyms-1 cbs-2 men-1 F25B5.6 gly-4 gpd-4 asah-1 T02H6.11 dhrs-4 K09E4.4 aldo-1 gly-20 got-1.2 R09H10.3 alh-13 tre-1 mpst-2 prdx-6 rpb-11 cat-2 hap-1 rpoa-1 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 psd-1 sqv-8 gba-3 vha-8 hpo-13 rnr-1 kmo-1 asns-2 F26D11.1 aco-2 gly-5 acdh-9 flu-2 Y47D9A.1 mpst-4 vha-5 cysl-2 F12F6.7 gln-2 rpc-11 daf-9 got-2.1 vha-9 R05F9.6 pgs-1 nmat-1 sucl-2 got-1.3 B0024.15 idhb-1 W09C5.8 atp-2 ATP synthase F0 subunit 6 nprt-1 C33A12.1 vha-18 
path:cel04350	TGF-beta signaling pathway	sma-2 skr-9 rho-1 skr-6 skr-16 dbl-1 skr-13 skr-10 skr-2 sma-4 skr-12 cul-1 skr-18 rsks-1 skr-4 skr-3 mpk-1 R04A9.7 skr-1 paa-1 skr-7 skr-15 skr-8 let-502 skr-17 skr-20 skr-5 lin-35 skr-21 let-92 sma-6 skr-14 rbx-1 cbp-1 
path:cel04010	MAPK signaling pathway	sem-5 cnb-1 dlk-1 rskn-2 akt-1 vhp-1 arr-1 hsp-1 ras-2 lit-1 mpk-2 akt-2 pxf-1 hsp-70 pmk-1 pkc-2 let-756 let-23 rap-1 fln-2 F11F1.1 let-60 ras-1 Y17G9B.5 mnk-1 fln-1 zak-1 mig-2 ppm-1 pph-5 kin-1 Y105C5A.24 crp-1 cdc-42 max-2 egl-19 rskn-1 sek-6 mek-2 ced-2 atf-5 lin-45 pmk-2 F44E5.5 sek-1 tax-6 F44E5.4 mek-1 mpk-1 mxl-3 gpa-12 sos-1 jnk-1 lin-1 mkk-4 pak-1 ced-10 cst-1 ccb-1 mtk-1 rac-2 cca-1 tap-1 pmk-3 kin-18 
path:cel03020	RNA polymerase	rpb-10 W06E11.1 rpc-11 rpb-7 rpb-11 rpac-40 rpoa-1 rpb-5 rpc-1 rpb-3 rpb-4 rpb-6 rpb-9 rpb-12 rpoa-2 ama-1 rpoa-12 let-611 rpc-25 rpb-2 W09C3.4 rpb-8 rpc-2 rpac-19 
path:cel03430	Mismatch repair	rfc-4 F12F6.7 pms-2 lig-1 rpa-1 R04F11.3 exo-1 rpa-2 F44B9.8 rpa-4 rfc-2 msh-6 rfc-3 msh-2 F10C2.4 rfc-1 mlh-1 
path:cel04512	ECM-receptor interaction	pat-3 agr-1 lam-3 let-2 
path:cel03440	Homologous recombination	top-3 F12F6.7 mus-81 Y116A8C.13 rad-51 rpa-1 R04F11.3 rad-50 rpa-2 mre-11 dss-1 F10C2.4 rpa-4 rad-54 him-6 
path:cel00450	Selenocompound metabolism	pps-1 cbl-1 metr-1 mars-1 Y105E8A.20 secs-1 seld-1 cth-1 nkat-3 cth-2 F13H8.9 
path:cel00240	Pyrimidine metabolism	W06E11.1 rpb-7 T24C4.5 rpb-5 rpb-3 dhp-2 ndk-1 rpb-12 thk-1 K02D7.1 pole-2 rpb-2 W09C3.4 upb-1 div-1 F10C2.4 tyms-1 T24C12.3 ctps-1 dpyd-1 BE0003N10.1 rpb-9 C29F7.3 rpoa-2 B0001.4 ama-1 pri-2 Y71H10B.1 dhod-1 rpac-19 rpb-10 ZK643.2 F19G12.2 rpac-40 rpb-11 R04F11.3 Y10G11A.1 hap-1 rpoa-1 rpb-6 rpb-4 umps-1 Y47D3A.29 pri-1 rnr-1 let-611 cdd-2 apy-1 rpb-8 F40F8.1 rnr-2 Y53F4B.3 upp-1 F12F6.7 dtmk-1 rpc-11 mig-23 pyr-1 rpc-1 pole-1 ndx-4 cdd-1 rpoa-12 rpc-25 dut-1 uda-1 rpc-2 
path:cel00062	Fatty acid elongation	hacd-1 F54C8.1 acaa-2 ech-8 stdh-2 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 art-1 let-767 hpo-8 ech-1.1 B0303.3 ech-1.2 mecr-1 ech-9 ppt-1 Y48A6B.9 stdh-1 ech-6 
path:cel00030	Pentose phosphate pathway	F08F8.7 aldo-2 pfk-1.2 R151.2 R05F9.6 fbp-1 rpia-1 gspd-1 pfk-1.1 F26D11.1 aldo-1 gpi-1 Y57G11C.3 F09E5.3 Y43F4B.5 Y24D9A.8 tkt-1 T25B9.9 
path:cel00650	Butanoate metabolism	hacd-1 F54C8.1 ech-8 T02G5.7 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 Y71G12B.10 gta-1 ech-1.1 alh-7 kat-1 ech-1.2 C05C10.3 ech-9 Y45G12B.3 hmgs-1 sur-5 unc-25 ech-6 
path:cel03460	Fanconi anemia pathway	mus-81 pms-2 rpa-1 dog-1 wdr-48 rpa-2 polk-1 rpa-4 fnci-1 slx-1 polh-1 him-6 clk-2 top-3 Y37B11A.2 ercc-1 rad-51 F35H10.5 rev-1 T07C12.12 xpf-1 fan-1 mlh-1 
path:cel00564	Glycerophospholipid metabolism	Y37E3.11 acl-8 ace-4 ckb-3 M05B5.4 psd-1 cka-2 ckb-2 ckb-1 acl-9 pssy-1 dgk-5 acl-2 acl-14 dgk-3 acl-7 ipla-2 cdgs-1 pcyt-1 mboa-7 F53C3.13 acl-5 ipla-3 acl-6 crls-1 acl-11 mboa-3 dgk-1 F54D7.2 pisy-1 ckc-1 F09G2.8 pgs-1 ath-1 gpcp-2 acl-4 ace-2 T25G3.4 C07E3.9 pld-1 ace-1 mboa-6 ZK370.4 lpin-1 gpdh-1 acl-1 gpdh-2 C39D10.3 
path:cel04068	FoxO signaling pathway	atm-1 sem-5 plk-3 daf-16 lgg-3 mfb-1 akt-1 sma-4 prmt-1 lit-1 mek-2 age-1 zyg-1 lin-45 lgg-1 cyb-3 akt-2 pmk-2 pck-1 plk-1 ist-1 mpk-1 sod-3 sos-1 jnk-1 cyb-1 par-4 cyb-2.1 plk-2 sgk-1 daf-2 ctl-3 skpt-1 aap-1 pmk-1 ctl-2 aak-2 sir-2.1 ctl-1 math-33 pdk-1 let-23 let-60 cyd-1 aak-1 cbp-1 pck-2 pmk-3 sod-2 daf-18 fkh-2 
path:cel00250	Alanine, aspartate and glutamate metabolism	glna-3 gln-2 alh-6 gdh-1 ddo-2 pyr-1 got-2.1 gta-1 adss-1 asns-1 agxt-1 gfat-1 W07E11.1 ppat-1 adsl-1 asns-2 alh-7 got-1.3 gfat-2 got-2.2 T09B4.8 got-1.2 gln-6 glna-2 gln-5 gln-3 gln-1 C32F10.8 unc-25 ddo-1 
path:cel00500	Starch and sucrose metabolism	tre-3 ugt-55 K08E3.5 ugt-56 ugt-58 T22F3.3 sqv-4 ugt-50 ugt-23 gsy-1 R05F9.6 klo-1 Y105E8B.9 ugt-48 gpi-1 T04A8.7 tre-5 ugt-61 ugt-46 hxk-1 aagr-1 ugt-62 Y43F4B.5 sqv-1 tre-1 agl-1 
path:cel00590	Arachidonic acid metabolism	ipla-3 gst-11 C53D5.5 gpx-1 ZC395.10 daf-9 gpx-3 gpx-2 ZC416.6 pges-2 ipla-2 gpx-7 T03D8.6 gpx-5 C07E3.9 
path:cel04310	Wnt signaling pathway	gsk-3 cnb-1 sel-12 ctbp-1 skr-9 mig-2 rho-1 skr-6 skr-16 skr-13 dsh-1 kin-1 skr-10 Y105C5A.24 skr-2 egl-20 kin-10 mom-2 sma-4 skr-12 bar-1 lit-1 cul-1 mom-1 skr-18 egl-8 pop-1 C44H4.6 skr-4 tax-6 skr-3 kin-3 lin-17 R03D7.5 lin-23 jnk-1 skr-7 skr-1 skr-15 skr-8 wrm-1 skr-17 mig-1 cfz-2 mom-5 skr-20 ced-10 skr-5 pkc-2 kin-19 skr-21 rac-2 skr-14 rbx-1 cyd-1 cbp-1 siah-1 
path:cel00600	Sphingolipid metabolism	ttm-5 asm-3 T10B11.2 F53C3.13 bgal-1 R05D11.9 asm-1 spl-1 lagr-1 gba-3 asah-1 sptl-1 gba-1 hpo-13 gba-2 gba-4 cgt-1 hyl-1 sms-2 T27F6.6 sptl-2 sms-3 cgt-2 asm-2 sms-1 sptl-3 F33D4.4 cgt-3 hyl-2 
path:cel00592	alpha-Linolenic acid metabolism	F08A8.4 ipla-3 acox-3 acox-5 F58F9.7 acox-1 ipla-2 F59F4.1 C07E3.9 
path:cel00750	Vitamin B6 metabolism	F57B9.1 F26H9.5 F57C9.1 
path:cel04140	Regulation of autophagy	atg-4.1 epg-8 atg-13 bec-1 atg-16.1 atg-7 lgg-3 unc-51 vps-15 atg-16.2 aak-2 atg-3 atg-10 lgg-1 vps-34 aak-1 
path:cel00040	Pentose and glucuronate interconversions	Y39G8B.1 ugt-55 K08E3.5 dhs-21 F08F8.7 ugt-56 ugt-58 sqv-4 ugt-50 alh-1 ugt-23 Y105E8B.9 alh-4 Y71F9B.9 ugt-48 ugt-61 ugt-46 ugt-62 R04B5.5 R04B5.6 
path:cel00562	Inositol phosphate metabolism	pifk-1 Y75B8A.24 ppk-1 ppk-2 inos-1 ZK795.1 C54E4.5 pisy-1 plc-3 Y6B3B.5 ppk-3 ipp-5 ZC8.6 ttx-7 plc-1 mtm-3 alh-8 mtm-1 mtm-6 piki-1 plc-4 tpi-1 age-1 egl-8 vps-34 unc-26 daf-18 
path:cel04122	Sulfur relay system	T27A3.6 F49E2.1 F49H6.5 mpst-1 tut-1 moc-3 mttu-1 B0205.6 tut-2 mpst-4 K10D2.7 mpst-2 
path:cel03018	RNA degradation	ntl-2 pfk-1.2 dcs-1 lsm-6 ntl-3 exos-1 F29A7.6 pfk-1.1 exos-9 xrn-2 crn-5 lsm-7 ccf-1 dis-3 lsm-3 cgh-1 pab-2 lsm-8 lsm-4 dcap-2 lsm-1 hsp-60 pab-1 Y51H7C.7 ntl-9 panl-2 hsp-6 BE0003N10.1 exos-4.2 gut-2 crn-3 exos-2 enol-1 lsm-5 exos-7 let-711 gld-4 panl-3 xrn-1 skih-2 patr-1 ntl-4 exos-3 mtr-4 
path:cel00430	Taurine and hypotaurine metabolism	Y7A9A.1 cdo-1 C53D5.5 unc-25 T03D8.6 
path:cel00533	Glycosaminoglycan biosynthesis - keratan sulfate	bre-4 fut-8 
path:cel00920	Sulfur metabolism	mpst-1 pps-1 sqrd-1 tag-231 ethe-1 cysl-1 cyc-2.2 cysl-4 Y6B3B.5 suox-1 mpst-4 cysl-2 cyc-2.1 mpst-2 
path:cel00770	Pantothenate and CoA biosynthesis	Y44A6D.5 pnk-4 T05G5.5 Y65B4A.8 T04G9.4 dpyd-1 upb-1 dhp-2 bcat-1 Y71H2AM.6 F25H9.6 
path:cel00220	Arginine biosynthesis	glna-3 gln-2 got-1.3 gdh-1 got-2.2 got-2.1 got-1.2 gln-5 gln-6 glna-2 gln-3 C32F10.8 gln-1 C10C5.5 
path:cel03013	RNA transport	npp-1 eif-3.D ubc-9 npp-20 C05C10.2 thoc-3 icln-1 Y39G10AR.8 egl-45 smg-2 C16C10.4 npp-11 eif-3.H xpo-1 ZK1098.4 thoc-1 H35B03.2 iftb-1 rsr-1 nxf-2 iffb-1 aly-3 npp-9 npp-5 inf-1 pab-1 R186.7 C37C3.2 smg-3 smg-4 rae-1 ife-3 Y47H9C.7 eif-1 T20G5.9 npp-14 rnp-4 nxt-1 Y37E3.10 mag-1 ifg-1 eif-3.J xpo-3 Y71H2B.2 uev-2 eif-1.A B0513.2 W08E3.2 gex-2 D2085.3 mel-46 F11A3.2 eif-3.C C44H9.4 ife-2 ran-2 ncbp-1 npp-12 npp-18 ife-4 Y65B4A.6 T25G3.3 acin-1 F10E9.5 eef-1A.2 npp-19 ppp-1 hoe-1 eif-3.G aly-2 eif-3.B npp-13 T08G11.4 C24H11.5 C05D11.9 D1007.4 C02B10.4 C15C6.4 Y62E10A.2 pab-2 npp-2 ZK632.14 pqn-27 F57B9.3 smo-1 eif-3.E aly-1 thoc-2 F33D11.10 rnp-5 hpo-31 npp-22 Y66A7A.2 eif-3.I imb-1 npp-8 F23F1.5 prmt-5 npp-6 smn-1 ran-1 smi-1 ife-5 npp-3 nxf-1 npp-21 eif-3.F eef-1A.1 
path:cel04144	Endocytosis	erp-1 grk-1 rab-11.1 pkc-3 C46H11.3 vps-26 epn-1 T05E7.3 F57B10.9 rho-1 vps-25 ppk-3 ver-3 tsg-101 par-6 arx-4 snx-6 vps-36 rab-7 vps-60 did-2 arr-1 hsp-1 amph-1 vps-29 vps-35 vps-4 Y92H12A.2 agef-1 cap-2 unc-57 R12C12.5 ddl-1 arf-6 alx-1 cap-1 snx-3 ppk-1 rab-35 vps-24 W09D10.1 mvb-12 hsp-70 vps-32.1 rab-11.2 T24B8.2 rab-8 rab-5 grp-1 chc-1 unc-116 vps-22 dpy-23 let-23 hgrs-1 vps-32.2 apb-1 stam-1 F11F1.1 rme-1 bris-1 Y53F4B.21 wsp-1 cnt-1 cav-1 arf-1.2 aps-2 sli-1 efa-6 ehs-1 crp-1 ddl-2 cdc-42 src-1 grk-2 vps-20 E01B7.1 par-3 arx-3 wwp-1 F44E5.5 rabs-5 arx-5 vps-37 F44E5.4 dyn-1 rfip-1 vps-2 arx-6 rab-10 pld-1 F07F6.4 eea-1 cnt-2 cav-2 ver-1 snx-1 istr-1 C01A2.4 K02B12.7 apa-2 gbf-1 arx-7 
path:cel00531	Glycosaminoglycan degradation	K09E4.4 bgal-1 Y105E8B.9 hex-1 
path:cel04630	Jak-STAT signaling pathway	ptp-2 sem-5 sta-1 sos-1 let-363 age-1 stam-1 akt-2 cyd-1 akt-1 cbp-1 aap-1 
path:cel00280	Valine, leucine and isoleucine degradation	hacd-1 F54C8.1 pcca-1 ech-8 T02G5.7 alh-1 Probable 3-hydroxyacyl-CoA dehydrogenase B0272.3 gta-1 F09F7.4 ZK669.4 kat-1 B0250.5 ivd-1 ech-1.1 tag-173 acdh-3 acdh-7 acdh-4 C05C10.3 ech-9 acdh-9 mmcm-1 bcat-1 pccb-1 acaa-2 acdh-8 Y39E4A.3 alh-12 Y71G12B.10 ard-1 alh-8 dld-1 alh-4 Y44A6D.5 B0303.3 ech-1.2 mce-1 T09B4.8 hmgs-1 alh-9 sur-5 ech-6 
path:cel00860	Porphyrin and chlorophyll metabolism	ugt-55 cox-15 ugt-56 ugt-58 ears-1 ugt-50 ugt-23 ears-2 cox-10 Y105E8B.9 ugt-48 ugt-61 ugt-46 ugt-62 frh-1 cchl-1 mmab-1 
path:cel00400	Phenylalanine, tyrosine and tryptophan biosynthesis	got-1.2 pah-1 got-1.3 tatn-1 got-2.2 got-2.1 
path:cel00300	Lysine biosynthesis	alh-9 
path:cel00290	Valine, leucine and isoleucine biosynthesis	Y44A6D.5 Y51H7C.9 bcat-1 K01C8.1 
path:cel00053	Ascorbate and aldarate metabolism	ugt-55 ugt-48 ugt-56 ugt-61 ugt-58 sqv-4 ugt-50 alh-1 ugt-23 ugt-46 alh-12 C54E4.5 ugt-62 alh-9 alh-4 
path:cel04931	Insulin resistance	gsk-3 CC8.2 ogt-1 T22F3.3 gsy-1 gfat-1 akt-1 cpt-1 ptp-2 mxl-2 mml-1 acs-22 rskn-1 gsp-2 age-1 let-363 pkc-1 akt-2 C44H4.6 rsks-1 pck-1 ist-1 R04A9.7 jnk-1 gsp-1 R03D7.5 ptp-3 Y71H2AM.20 acs-20 daf-2 aap-1 gfat-2 aak-2 pdk-1 aak-1 pck-2 daf-18 
path:cel00130	Ubiquinone and other terpenoid-quinone biosynthesis	coq-3 acs-6 coq-6 clk-1 tatn-1 coq-2 coq-5 hpd-1 C31H2.4 
path:cel00061	Fatty acid biosynthesis	acs-2 acs-5 acs-4 acs-13 acs-18 acs-17 F10G8.9 fasn-1 pod-2 acs-16 acs-15 acs-3 
path:cel00511	Other glycan degradation	hex-5 bgal-1 eng-1 hex-2 gba-3 gba-1 C33G3.4 hpo-13 gba-2 gba-4 aman-1 hex-1 hex-4 R04B3.2 W03G11.3 hex-3 
path:cel00604	Glycosphingolipid biosynthesis - ganglio series	bgal-1 T26C5.3 hex-1 
path:cel04213	Longevity regulating pathway - multiple species	daf-16 hsp-16.1 sip-1 acy-1 kin-1 pha-4 hda-2 akt-1 hsp-16.11 daf-15 hsp-1 ins-7 hsp-12.6 hda-1 age-1 let-363 sod-1 F44E5.5 akt-2 rsks-1 F44E5.4 ist-1 sod-4 sod-3 R04A9.7 hsp-70 daf-2 ctl-3 hsp-16.48 aap-1 sod-5 hsp-16.49 ctl-2 aak-2 sir-2.1 ctl-1 hda-3 F11F1.1 let-60 aak-1 sod-2 
path:cel01230	Biosynthesis of amino acids	aldo-2 R151.2 ipgm-1 Y62E10A.13 F26H9.5 pgk-1 rpia-1 pfk-1.1 cbs-1 gpd-1 Y24D9A.8 bcat-1 cts-1 pyk-1 sams-4 cbs-2 tatn-1 sams-5 cysl-1 sams-1 F55G1.9 gpd-4 R102.4 enol-1 aldo-1 got-2.2 got-1.2 sams-3 gln-6 alh-13 alh-9 gpd-3 C32F10.8 gln-1 cth-1 cth-2 F08F8.7 cbl-1 pfk-1.2 gpd-2 aco-2 M153.1 metr-1 gln-5 idh-2 idh-1 idhg-2 cysl-2 gln-2 got-2.1 K01C8.1 cysl-4 mel-32 pyc-1 Y51H7C.9 aco-1 idha-1 C10C5.5 pah-1 Y44A6D.5 W07E11.1 got-1.3 idhg-1 idhb-1 tpi-1 gln-3 C31C9.2 tkt-1 
path:cel00260	Glycine, serine and threonine metabolism	gcsh-1 T25B9.1 cbs-2 C15B12.1 cbl-1 ipgm-1 Y62E10A.13 K01C8.1 R12C12.1 F26H9.5 mel-32 agxt-1 Y51H7C.9 dld-1 gcst-1 R102.4 F52A8.5 T09B4.8 F08F3.4 cbs-1 alh-9 C34C6.4 C13B9.2 daao-1 C31C9.2 cth-1 cth-2 
path:cel00460	Cyanoamino acid metabolism	Y7A9A.1 nit-1 C53D5.5 mel-32 klo-1 T03D8.6 
path:cel00020	Citrate cycle (TCA cycle)	dlst-1 mdh-2 fum-1 dlat-1 sdhd-1 aco-2 sdha-1 mdh-1 ogdh-1 mev-1 idh-1 idh-2 pck-1 idhg-2 cts-1 pdhb-1 suca-1 acly-2 sdha-2 sucg-1 pyc-1 aco-1 idha-1 dld-1 sucl-2 sdhb-1 idhb-1 idhg-1 acly-1 C30H6.7 sucl-1 pdha-1 pck-2 
path:cel04080	Neuroactive ligand-receptor interaction	gar-3 lgc-36 nmur-4 gar-2 gbb-1 ser-4 lgc-37 ser-1 tkr-2 nmr-1 dop-3 mgl-1 npr-9 mgl-3 gnrr-1 ckr-2 dop-1 ser-7 mgl-2 lgc-38 gar-1 npr-6 par-3 gab-1 
path:cel04340	Hedgehog signaling pathway	gsk-3 csnk-1 ptc-2 R03D7.5 lin-23 ptc-1 kin-19 tra-1 ptc-3 dbl-1 lrp-1 kin-1 C44H4.6 egl-20 mom-2 
path:cel04120	Ubiquitin mediated proteolysis	sel-10 oxi-1 ubc-14 ubc-9 fzr-1 ddb-1 ubc-8 skr-12 ubc-7 cul-1 Y92H12A.2 ubr-5 emb-27 ubc-15 Y48G1C.12 elb-1 ubc-24 aos-1 lin-23 skr-7 elc-1 eel-1 ubc-20 cul-4 F52C6.12 uev-2 ufd-2 skr-21 cul-2 let-70 skr-14 rbx-1 ubc-16 cul-5 skr-9 ubc-1 pdr-1 sli-1 such-1 skr-16 ubc-22 skr-6 skr-13 apc-11 skr-2 skr-10 cyn-4 ubc-18 chn-1 ubc-26 rfl-1 apc-2 skr-18 mel-26 wwp-1 skr-4 cul-3 skr-3 rbx-2 skr-1 skr-15 skr-8 skr-17 ubc-25 ubc-6 skpt-1 skr-20 ubc-12 skr-5 D2085.4 ubc-13 ubc-17 mat-1 vhl-1 ubc-3 sel-11 mat-3 siah-1 
