dre:449990	phlda1, zgc:103749; pleckstrin homology-like domain, family A, member 1
dre:554050	itgbl1, zgc:112304; integrin, beta-like 1
dre:569527	zgc:174931
dre:406776	uba3, ube1c, wu:fb75e04, wu:fc37b11, zgc:55528; ubiquitin-like modifier activating enzyme 3 (EC:6.3.2.-); K10686 ubiquitin-activating enzyme E1 C [EC:6.2.1.45]
dre:337142	cnn3b, hm:zehn1486, wu:fa99a06, zgc:112050, zgc:123208; calponin 3, acidic b
dre:406778	exo1, fc16e04, wu:fc16e04, zgc:55521; exonuclease 1; K10746 exonuclease 1 [EC:3.1.-.-]
dre:497129	pcdh1a6, DrPcdh1ab4; protocadherin 1 alpha 6; K16493 protocadherin alpha
dre:100126137	zgc:174288
dre:58149	pdp2; putative pyruvate dehydrogenase phosphatase isoenzyme 2 (EC:3.1.3.43); K01102 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
dre:406780	stxbp3, wu:fb71h06, zgc:63761; syntaxin binding protein 3; K15301 syntaxin-binding protein 3
dre:503571	pcdh1gc5, pcdh1g27, pcdh1gc5-A; protocadherin 1 gamma c 5; K16497 protocadherin gamma subfamily C
dre:503572	pcdh1gc6, DrPcdh1g24, pcdh1g28, pcdh1gc6-A; protocadherin 1 gamma c 6; K16497 protocadherin gamma subfamily C
dre:58152	scn8aa, Nav1.6, scn8a; sodium channel, voltage gated, type VIII, alpha subunit a
dre:406783	upf1, rent1, wu:fi40f07, wu:fj48a01, zgc:55472; upf1 regulator of nonsense transcripts homolog (yeast); K14326 regulator of nonsense transcripts 1 [EC:3.6.4.-]
dre:503573	pcdh1gb2, DrPcdh1g4, pcdh1g5, pcdh1gb2-A; protocadherin 1 gamma b 2
dre:58153	slc40a1, FPN1, slc39a1, weh; solute carrier family 40 (iron-regulated transporter), member 1; K14685 solute carrier family 40 (iron-regulated transporter), member 1
dre:553999	pcdh1g11; protocadherin 1 gamma 11
dre:554015	pcdh1g31, DrPcdh1g27; protocadherin 1 gamma 31; K16497 protocadherin gamma subfamily C
dre:554016	pcdh1g32, DrPcdh1g28; protocadherin 1 gamma 32; K16497 protocadherin gamma subfamily C
dre:406794	ube2j1, zgc:63554; ubiquitin-conjugating enzyme E2, J1 (EC:6.3.2.19); K10578 ubiquitin-conjugating enzyme E2 J1 [EC:2.3.2.23]
dre:323695	cav1, fc07c04, wu:fc07c04; caveolin 1; K06278 caveolin 1
dre:571688	dock5; dedicator of cytokinesis 5; K17707 dedicator of cytokinesis protein 5
dre:406795	skiv2l2, wu:fd11a05, zgc:63838; superkiller viralicidic activity 2-like 2 (EC:3.6.4.13); K12598 ATP-dependent RNA helicase DOB1 [EC:3.6.4.13]
dre:554054	pcdh2g6; protocadherin 2 gamma 6; K16495 protocadherin gamma subfamily A
dre:60638	pax2b, pax2.2; paired box 2b
dre:60639	pax6b, Pax6.2, cb566, fc09c10, id:ibd5095, wu:fc09c10, wu:fc33g08; paired box 6b; K08031 paired box protein 6
dre:60641	sox9a, jef, wu:fj17b12, zgc:111921; SRY (sex determining region Y)-box 9a; K18435 transcription factor SOX9 (SOX group E)
dre:557590	zbtb43, si:rp71-14i8.2; zinc finger and BTB domain containing 43; K10514 zinc finger and BTB domain-containing protein 43
dre:60642	sox9b, fb18d01, wu:fb18d01; SRY (sex determining region Y)-box 9b; K18435 transcription factor SOX9 (SOX group E)
dre:554075	pcdh2g28; protocadherin 2 gamma 28; K16495 protocadherin gamma subfamily A
dre:60647	nitr2b, nitr2, nitr2.1, nitr2.16, nitr2.2, nitr2.21, nitr2.3, nitr2.5, nitr2.8; novel immune-type receptor 2b
dre:554076	pcdh2g29; protocadherin 2 gamma 29; K16495 protocadherin gamma subfamily A
dre:60649	nitr3a, SI:dZ213M14.2, dZ169I8.8, nitr, nitr3.1, nitr3.2, nitr3.3, nitr3.4, nitr3.6, nitr3.7, nitr3.9, nitr3a_4, nitr3a_6, si:busm1-221h6.4, si:dz221h6.4; novel immune-type receptor 3a
dre:406805	nvl, wu:fa20g10, zgc:55732; nuclear VCP-like; K14571 ribosome biogenesis ATPase
dre:559966	kbtbd8, cb672, takrp, wu:fc57a10, zgc:152950; kelch repeat and BTB (POZ) domain containing 8; K10475 kelch repeat and BTB domain-containing protein 8
dre:100002293	endog, wu:fb79c08, zgc:110020; endonuclease G; K01173 endonuclease G, mitochondrial
dre:554151	bcap29, si:dkey-217k21.7, zgc:110731; B-cell receptor-associated protein 29
dre:406808	pitrm1, wu:fa03d09, zgc:55469; pitrilysin metallopeptidase 1 (EC:3.4.24.-); K06972 presequence protease [EC:3.4.24.-]
dre:100003563	stmn2b, scg10, scgn10, stmn2, zgc:110132; stathmin 2b
dre:60658	nos1, nNOS, nos; nitric oxide synthase 1 (neuronal) (EC:1.14.13.39); K13240 nitric-oxide synthase, brain [EC:1.14.13.39]
dre:406810	prpf38b, wu:fc43b05, zgc:63496; pre-mRNA processing factor 38B; K12850 pre-mRNA-splicing factor 38B
dre:558164	mab21l3, si:ch211-246m4.3; mab-21-like 3
dre:406811	fd02b12, wu:fd02b12; zgc:55461; K07375 tubulin beta
dre:63998	stard3, fc66d12, mln64, wu:fc66d12; StAR-related lipid transfer (START) domain containing 3
dre:554150	b9d1, im:6905750, im:7069491, wu:fc09g07, zgc:110733; B9 protein domain 1; K16744 B9 domain-containing protein 1
dre:63999	star; steroidogenic acute regulatory protein; K16931 steroidogenic acute regulatory protein, mitochondrial
dre:406816	cul1b, cul1, wu:fi43h07, wu:fj43a08, zgc:111899, zgc:55483; cullin 1b; K03347 cullin 1
dre:563294	stoml1, im:7145864, wu:fd21f07, zgc:158861; stomatin (EPB72)-like 1
dre:554143	gnpnat1, im:7138655, zgc:112267; glucosamine-phosphate N-acetyltransferase 1 (EC:2.3.1.4); K00621 glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4]
dre:406369	prpsap2, wu:fi14g04, zgc:55477, zgc:85610; phosphoribosyl pyrophosphate synthetase-associated protein 2
dre:81586	cldng, cb214, zgc:136312, zgc:152655; claudin g; K06087 claudin
dre:64263	gch2, fb51g02, gch, gch1b, wu:fb51g02; GTP cyclohydrolase 2 (EC:3.5.4.16); K01495 GTP cyclohydrolase I [EC:3.5.4.16]
dre:795020	zgc:174688
dre:406822	cab39l1, cab39, wu:fb72b01, wu:fi37c08, zgc:55451; calcium binding protein 39, like 1; K08272 calcium binding protein 39
dre:554152	csnk1g2a, csnk1g2, fj97g11, wu:fj97g11, wz8345, zgc:110719; casein kinase 1, gamma 2a; K08958 casein kinase 1, gamma [EC:2.7.11.1]
dre:64273	atp1b1b, cb710; ATPase, Na+/K+ transporting, beta 1b polypeptide; K01540 sodium/potassium-transporting ATPase subunit beta
dre:560095	zdhhc9, zgc:136936; zinc finger, DHHC-type containing 9 (EC:2.3.1.225); K16675 palmitoyltransferase ZDHHC9/14/18 [EC:2.3.1.225]
dre:100002307	oscp1a, oscp1, zgc:171454; organic solute carrier partner 1a
dre:554088	styx, im:6908851, si:ch211-270g19.2, si:dkey-119m7.5, zgc:110621; serine/threonine/tyrosine interacting protein; K18042 serine/threonine/tyrosine-interacting protein
dre:406827	nedd1, fb78g03, wu:fb78g03, zgc:63491; neural precursor cell expressed, developmentally down-regulated 1; K16547 protein NEDD1
dre:561171	cbln8, zgc:171537; cerebellin 8
dre:554091	dnajb9b, zgc:110447; DnaJ (Hsp40) homolog, subfamily B, member 9b
dre:406829	far1, fc22d12, mlstd2, wu:fc22d12, zgc:55416; fatty acyl CoA reductase 1 (EC:1.2.1.-)
dre:554092	tbc1d17, wu:fc56c02, zgc:110443; TBC1 domain family, member 17
dre:554093	derl2, zgc:110436; derlin 2; K13989 Derlin-2/3
dre:100006475	zgc:171500
dre:324134	asmtl, wu:fc19g05, wu:fc48g07, zgc:63714; acetylserotonin O-methyltransferase-like
dre:554098	mrpl28, wu:fa96b11, zgc:110013; mitochondrial ribosomal protein L28; K02902 large subunit ribosomal protein L28
dre:559954	fn3krp, zgc:101634; fructosamine 3 kinase related protein; K15523 protein-ribulosamine 3-kinase [EC:2.7.1.172]
dre:64612	atp1a1a.1, atp1a1, atp1a1l1, atp[a]1B1, cb70, wu:fa03c03, wu:fb92h10; ATPase, Na+/K+ transporting, alpha 1a polypeptide, tandem duplicate 1 (EC:3.6.3.9); K01539 sodium/potassium-transporting ATPase subunit alpha [EC:3.6.3.9]
dre:406835	serinc5, sb:cb651, wu:fb37d09, zgc:55396; serine incorporator 5
dre:406836	ube2v2, wu:fb18b11, wu:fb24d11, zgc:63717; ubiquitin-conjugating enzyme E2 variant 2; K10704 ubiquitin-conjugating enzyme E2 variant
dre:100000341	rps23, zgc:171710; ribosomal protein S23; K02973 small subunit ribosomal protein S23e
dre:406837	rnf41, wu:fi13f07, wu:fi25b06, zgc:55389; ring finger protein 41 (EC:6.3.2.-); K11981 E3 ubiquitin-protein ligase NRDP1 [EC:2.3.2.27]
dre:333991	rbm38, YF-55, fi25e12, rnpc1, wu:fi25e12, zgc:92336; RNA binding motif protein 38
dre:798901	bc2, fj10d05, wu:fi18h03, wu:fj10d05, zgc:55361; putative breast adenocarcinoma marker; K12191 charged multivesicular body protein 2A
dre:554104	uchl3, im:6908825, zgc:109963; ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase) (EC:3.4.19.12); K05609 ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12]
dre:406839	mus81, wu:fc26g01, zgc:66489, zgc:91801; MUS81 structure-specific endonuclease subunit (EC:3.1.22.-); K08991 crossover junction endonuclease MUS81 [EC:3.1.22.-]
dre:557232	aspa, ACY-2, zgc:171507; aspartoacylase (EC:3.5.1.15); K01437 aspartoacylase [EC:3.5.1.15]
dre:793798	MGC172218; L-rhamnose-binding lectin CSL3-like
dre:554107	ela3l, ela2al, elaA, fd58f03, wu:fd58f03, zgc:109943; elastase 3 like
dre:406841	tmem184a, wu:fe01b07, wu:fi16g03, wu:fi41b02, zgc:66481, zgc:92293; transmembrane protein 184a
dre:100000319	zgc:112210
dre:554116	ubxn8, im:7151693, zgc:112045; UBX domain protein 8
dre:64692	zp3b, ZP3, ZPC, fa55e05, wu:fa55e05, zfZPC; zona pellucida glycoprotein 3b
dre:554117	morn5, zgc:112044; MORN repeat containing 5
dre:554118	anxa13l, zgc:112421; annexin A13, like; K17099 annexin A13
dre:556680	mtfmt, mtmft, zgc:152651; mitochondrial methionyl-tRNA formyltransferase (EC:2.1.2.9); K00604 methionyl-tRNA formyltransferase [EC:2.1.2.9]
dre:554123	sept3, zgc:110051; septin 3; K16938 septin 3/9/12
dre:64807	vox, vega1, zgc:136532; ventral homeobox
dre:554124	bckdha, wu:fd20d04, zgc:110049; branched chain keto acid dehydrogenase E1, alpha polypeptide (EC:1.2.4.4); K00166 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]
dre:554125	ndufa2, zgc:112340; NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2; K03946 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 2
dre:795693	zgc:171957
dre:799537	serine protease HTRA2, mitochondrial-like
dre:100000479	ube2g1b, ube2g1, wu:fc68b05, wu:fc75g08, wu:fk32c04, zgc:55321; ubiquitin-conjugating enzyme E2G 1b (UBC7 homolog, yeast) (EC:6.3.2.19); K10575 ubiquitin-conjugating enzyme E2 G1 [EC:2.3.2.23]
dre:30763	mhc2dcb, si:busm1-243a08.1, si:busm1-37i06.8, si:dz243a08.1, si:dz37i06.8; major histocompatibility complex class II DCB gene; K06752 major histocompatibility complex, class II
dre:554131	tex261, wu:fb72a06, zgc:110022; testis expressed 261
dre:406852	nup133, wu:fa04e09, zgc:55311; nucleoporin 133; K14300 nuclear pore complex protein Nup133
dre:554134	tvp23b, fam18b, zgc:110017; trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)
dre:406856	fc67d02, fj98h11, wu:fc67d02, wu:fj98h11; zgc:66443
dre:554140	atg4a, zgc:111958; autophagy related 4A, cysteine peptidase; K08342 cysteine protease ATG4 [EC:3.4.22.-]
dre:393962	usp20, im:7151955, zgc:63661; ubiquitin specific peptidase 20 (EC:3.4.19.12); K11848 ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]
dre:556443	crkl, wu:fa55g05, wu:fj60e01, zgc:63469; v-crk avian sarcoma virus CT10 oncogene homolog-like; K04438 proto-oncogene C-crk
dre:561164	si:dkey-226m8.9
dre:406860	ipo9, wu:fc23d12, zgc:66429; importin 9
dre:554146	gins2, si:dkey-265o13.3, zgc:112262; GINS complex subunit 2; K10733 GINS complex subunit 2
dre:100001344	uncharacterized LOC100001344
dre:554147	spc24, wu:fb79a02, zgc:110417; SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae); K11549 kinetochore protein Spc24, animal type
dre:407073	emc2, ttc35, zgc:73154, zgc:86891; ER membrane protein complex subunit 2
dre:407077	nkx1.2lb, sax2, zsax2; NK1 transcription factor related 2-like,b; K09309 homeobox protein Nkx-1
dre:554156	tada2b, wu:fb72h11, wu:fi12b07, wu:fi33a06, zgc:110397; transcriptional adaptor 2B; K15127 transcriptional adapter 2-beta
dre:554167	tnfb, Tnf-alpha, tnf, tnfa-like; tumor necrosis factor b (TNF superfamily, member 2); K05468 lymphotoxin alpha (TNF superfamily, member 1)
dre:554168	myh11a, myh11; myosin, heavy chain 11a, smooth muscle; K10352 myosin heavy chain
dre:65231	mdkb, cb518, fb79b05, fj33b02, fj48a12, mdk, mdk2, plei2, wu:fb79b05, wu:fj33b02, wu:fj48a12; midkine b; K06828 midkine
dre:566517	aga, zgc:77327; aspartylglucosaminidase (EC:3.5.1.26); K01444 N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]
dre:336492	ptgdsb, hm:zeh0800, ptgds, wu:fb10b10, wu:fb11h03; prostaglandin D2 synthase b (EC:5.3.99.2); K01830 prostaglandin-H2 D-isomerase [EC:5.3.99.2]
dre:325372	scrt2, fc69h06, fc69h09, scrt-a, scrta, wu:fc69h06, wu:fc69h09, zgc:162551; scratch family zinc finger 2; K09219 scratch
dre:554200	nsfb; N-ethylmaleimide-sensitive factor b; K06027 vesicle-fusing ATPase [EC:3.6.4.6]
dre:337226	MLC3SM, fb02e09, hm:zehn1575, wu:fa98e09, wu:fb02e09; zgc:153867; K12751 myosin light chain 6
dre:406437	tpm4a, tpm4, wu:fb06e07, zgc:103436, zgc:63909; tropomyosin 4a; K10375 tropomyosin 4
dre:65237	mapk14a, MAPK14, fk28c03, hm:zeh1243, p38, p38a, wu:fk28c03, zp38a; mitogen-activated protein kinase 14a (EC:2.7.11.24); K04441 p38 MAP kinase [EC:2.7.11.24]
dre:322362	slc25a3b, slc25a3, wu:fb59a06, zgc:56226, zgc:85664; solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3b; K15102 solute carrier family 25 (mitochondrial phosphate transporter), member 3
dre:65238	klf17, biklf, id:ibd5109, ik:tdsubc_1b8, ik:tdsubc_1e12, ik:tdsubc_1e5, klf4, klf4b, wu:fc09b11, xx:tdsubc_1b8, xx:tdsubc_1e12, xx:tdsubc_1e5, zgc:109839; Kruppel-like factor 17; K17846 krueppel-like factor 4
dre:30339	hoxb3a, Z-92, hoxb3, id:ibd3053, wu:fc33f11, zgc:111819; homeobox B3a; K09303 homeobox protein HoxA/B/D3
dre:323465	vcanb, cspg2b, dcan, fb99b07, wu:fb99b07; versican b; K06794 neurocan core protein
dre:564554	lrig3; leucine-rich repeats and immunoglobulin-like domains 3
dre:266721	trh, Pro-TRH, zgc:110168; thyrotropin-releasing hormone; K05253 thyrotropin-releasing hormone
dre:553162	hs6st1a, hs6st1, zgc:110038; heparan sulfate 6-O-sulfotransferase 1a (EC:2.8.2.-); K02514 heparan sulfate 6-O-sulfotransferase HS6ST1 [EC:2.8.2.-]
dre:100002821	zgc:172131
dre:336073	lcp2a, wu:fj47a12, zgc:101809; lymphocyte cytosolic protein 2a; K07361 lymphocyte cytosolic protein 2
dre:80353	slit2; slit homolog 2 (Drosophila); K06839 slit 2
dre:336619	eif4bb, eif4b, fb15c09, wu:fb15c09, zgc:101532; eukaryotic translation initiation factor 4Bb; K03258 translation initiation factor 4B
dre:322543	apoa4b.1, apoa4, wu:fb64f03, wu:fb66f09, zgc:122983; apolipoprotein A-IV b, tandem duplicate 1; K08760 apolipoprotein A-IV
dre:795922	zgc:172109
dre:100003100	sbk3, zgc:172086; SH3 domain binding kinase family, member 3
dre:402863	gtpbp1l; GTP binding protein 1, like
dre:407613	rbfox1l, Fox-1, a2bp1l, fox1l, hm:zeh0082; RNA binding protein, fox-1 homolog (C. elegans) 1-like; K14946 RNA binding protein fox-1
dre:562720	mapk8a, zgc:172209; mitogen-activated protein kinase 8a (EC:2.7.11.24); K04440 c-Jun N-terminal kinase [EC:2.7.11.24]
dre:407686	zgc:113944; K17889 beclin 1-associated autophagy-related key regulator
dre:407615	spryd7a, dZ79F24.1-001, fd05e05, si:busm1-79f24.1, si:dkey-7a20.6, si:dz79f24.1, wu:fd05e05, zgc:56247; SPRY domain containing 7a
dre:553261	smg5, zgc:113841; SMG5 nonsense mediated mRNA decay factor; K11125 protein SMG5
dre:334665	rdh14b, fk47f05, rdh14, si:dkey-174m14.2, wu:fk47f05; retinol dehydrogenase 14b (all-trans/9-cis/11-cis); K11162 retinol dehydrogenase 14 [EC:1.1.1.-]
dre:568887	dusp13a, zgc:172281; dual specificity phosphatase 13a (EC:3.1.3.16); K14165 atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
dre:407650	rabac1, wu:fe26d12, zgc:86749; Rab acceptor 1 (prenylated)
dre:80787	slc6a3, dat; solute carrier family 6 (neurotransmitter transporter), member 3; K05036 solute carrier family 6 (neurotransmitter transporter, dopamine) member 3
dre:559420	tlcd2, zgc:175098; TLC domain containing 2
dre:796228	zgc:172260
dre:558938	si:dkey-30c15.2
dre:81534	stom, band7.2, band72, epb72, zgc:110814; stomatin; K17286 erythrocyte band 7 integral membrane protein
dre:793445	prr16; proline rich 16
dre:796019	zgc:174935
dre:797049	zgc:172244
dre:791758	asb11, asb-a, zgc:136370, zgc:158532; ankyrin repeat and SOCS box containing 11; K10333 ankyrin repeat and SOCS box protein 11
dre:569469	snx10b; sorting nexin 10b; K17924 sorting nexin-10/11
dre:407690	rps8a, mg:ab03d05, rps8, wu:fa92d06, zgc:92679; ribosomal protein S8a; K02995 small subunit ribosomal protein S8e
dre:368263	zic3, cb807, id:ibd2176, wu:fj52a10, wu:fq33c12; zic family member 3 heterotaxy 1 (odd-paired homolog, Drosophila); K18487 zinc finger protein ZIC 3
dre:563847	cbln4, zgc:172190; cerebellin 4 precursor
dre:407718	zbtb1, si:dkey-1h6.5; zinc finger and BTB domain containing 1; K10488 zinc finger and BTB domain-containing protein 1
dre:562338	si:ch211-226h8.4
dre:436893	coq3, fb14b06, fl80g11, wu:fb14b06, wu:fl80g11, zgc:92256; coenzyme Q3 methyltransferase (EC:2.1.1.114); K00591 polyprenyldihydroxybenzoate methyltransferase / 3-demethylubiquinol 3-O-methyltransferase [EC:2.1.1.114 2.1.1.64]
dre:570533	samd10a, zgc:172155; sterile alpha motif domain containing 10a
dre:407720	tbc1d22a, CH73-375P24.1, zgc:101677; TBC1 domain family, member 22a
dre:558758	acp6, im:7147584, zgc:172268; acid phosphatase 6, lysophosphatidic (EC:3.1.3.2); K14395 lysophosphatidic acid phosphatase type 6 [EC:3.1.3.2]
dre:445250	neu3.2, im:6912336, zgc:100806; sialidase 3 (membrane sialidase), tandem duplicate 2; K12357 sialidase-2/3/4 [EC:3.2.1.18]
dre:407723	smcr8b, smcr8; Smith-Magenis syndrome chromosome region, candidate 8b
dre:559537	scly, zgc:171514; selenocysteine lyase (EC:4.4.1.16); K01763 selenocysteine lyase [EC:4.4.1.16]
dre:561329	si:ch211-226h8.11
dre:407736	fabp7b; fatty acid binding protein 7, brain, b; K08756 fatty acid-binding protein 7, brain
dre:403038	lman2la, VIP36-like, lman2l, zgc:113949; lectin, mannose-binding 2-like a; K10083 lectin, mannose-binding 2-like
dre:407737	fgf17, fgf17b, zgc:101759; fibroblast growth factor 17; K04358 fibroblast growth factor
dre:573376	hspa8, hsc70, wu:fb01g06, wu:fi48b06; heat shock protein 8; K03283 heat shock 70kDa protein 1/8
dre:334728	mapre1b, mapre1, wu:fa01e12, wu:fc23e11, zgc:85755; microtubule-associated protein, RP/EB family, member 1b; K10436 microtubule-associated protein, RP/EB family
dre:100005419	ppp4r2b, wu:fa17h08, wu:fc23g05; protein phosphatase 4, regulatory subunit 2b; K15425 serine/threonine-protein phosphatase 4 regulatory subunit 2
dre:81886	vipr2, pacap, vpac2, vpac2-R; vasoactive intestinal peptide receptor 2; K04590 vasoactive intestinal peptide receptor 2
dre:100007463	tle3b, GROUCHO1, grg3, gro1, gro3, wu:fi28a02, wu:fj62f10; transducin-like enhancer of split 3b
dre:793295	rnf180, zgc:66368; ring finger protein 180; K15708 E3 ubiquitin-protein ligase RNF180 [EC:2.3.2.27]
dre:83773	dmd, Dp71, cb664, im:6911785, zfDYS, zgc:110165; dystrophin
dre:373110	birc5a, bir5a, survivin; baculoviral IAP repeat containing 5a; K08731 baculoviral IAP repeat-containing protein 5
dre:30699	clns1a, icln; chloride channel, nucleotide-sensitive, 1A; K05019 chloride channel, nucleotide-sensitive, 1A
dre:558547	si:ch211-130m23.3
dre:373870	vax1; ventral anterior homeobox 1; K09318 homeobox protein ventral anterior
dre:116991	ugdh, ik:tdsubc_2a8, tdsubc_2a8, xx:tdsubc_2a8; UDP-glucose 6-dehydrogenase (EC:1.1.1.22); K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
dre:387300	p2rx3b, p2xr3.2, zP2X3.2, zgc:110486; purinergic receptor P2X, ligand-gated ion channel, 3b; K05217 P2X purinoceptor 3
dre:323473	prdm1a, Blimp-1, Blimp1, nrd, prdm1, ubo, wu:fb99c12, zgc:91885; PR domain containing 1a, with ZNF domain
dre:402792	nip2; zgc:73226; K15464 BCL2/adenovirus E1B 19 kDa protein-interacting protein 3
dre:404275	helt, zgc:109704; helt bHLH transcription factor
dre:142986	ptk2ab, fak, fak1a, ptk2, ptk2.1, ptk2a, wu:fa18c04, zgc:66114; protein tyrosine kinase 2ab (EC:2.7.10.2); K05725 focal adhesion kinase 1 [EC:2.7.10.2]
dre:337220	emc6, tmem93, wu:fb02d05, zgc:56250, zgc:77320; ER membrane protein complex subunit 6
dre:561694	si:ch211-225b11.1; K05039 solute carrier family 6 (neurotransmitter transporter, GABA) member 6/8/11/12/13
dre:100003906	si:ch211-210k13.1, wu:fj67a04; zgc:112265
dre:337851	cherp, ik:tdsubc_2h12, scaf6, wu:fc83d01, xx:tdsubc_2h12, zgc:55518; calcium homeostasis endoplasmic reticulum protein; K12841 calcium homeostasis endoplasmic reticulum protein
dre:84702	cp, fi23f10, wu:fi23f10; ceruloplasmin (EC:1.16.3.1); K13624 ceruloplasmin [EC:1.16.3.1]
dre:555297	stk24a, zgc:163071; serine/threonine kinase 24a (STE20 homolog, yeast); K08838 serine/threonine-protein kinase 24/25/MST4 [EC:2.7.11.1]
dre:114377	efnb1; ephrin-B1; K05463 ephrin-B
dre:562473	ncf2, zgc:158405; neutrophil cytosolic factor 2; K08010 neutrophil cytosolic factor 2
dre:553240	rbmx2, im:7141316, zgc:113884; RNA binding motif protein, X-linked 2; K13107 RNA-binding motif protein, X-linked 2
dre:564523	sgk3, zgc:162253; serum/glucocorticoid regulated kinase family, member 3 (EC:2.7.11.1); K13304 serum/glucocorticoid-regulated kinase 3 [EC:2.7.11.1]
dre:114401	bcl2l1, bcl2l, blp1, cb1021, zfBLP1; bcl2-like 1; K04570 BCL2-like 1 (apoptosis regulator Bcl-X)
dre:407983	tp53bp2a, tp53bp2, wu:fa09h08, wu:fb04e08, zgc:85720; tumor protein p53 binding protein, 2a; K16823 apoptosis-stimulating of p53 protein 2
dre:573990	pex16, im:6894523, zgc:112248; peroxisomal biogenesis factor 16; K13335 peroxin-16
dre:573993	tbc1d20, si:dkey-102c8.7, zgc:110422; TBC1 domain family, member 20
dre:407984	thrap3b, zgc:85716; thyroid hormone receptor associated protein 3b; K13112 thyroid hormone receptor-associated protein 3
dre:799038	zgc:162154
dre:114407	angpt1, ang1, wu:fc76g06; angiopoietin 1; K05465 angiopoietin 1
dre:573995	fam110b, wu:fk89a03, zgc:114139; family with sequence similarity 110, member B
dre:558152	sh2b1, zgc:158474; SH2B adaptor protein 1; K12459 SH2B adaptor protein 1/3
dre:573996	chordc1a, zgc:114108; cysteine and histidine-rich domain (CHORD) containing 1a; K16729 cysteine and histidine-rich domain-containing protein 1
dre:573998	dusp12, zgc:114069; dual specificity phosphatase 12; K14819 dual specificity phosphatase 12 [EC:3.1.3.16 3.1.3.48]
dre:563283	plekho1a, ckip-1, plekho1, si:dkey-200h23.2; pleckstrin homology domain containing, family O member 1a
dre:574000	tnnt2d, zgc:114184; troponin T2d, cardiac
dre:574002	zgc:114174
dre:407985	tcf12, wu:fb74g05, wu:fc43e06, zgc:110341, zgc:85956; transcription factor 12; K15603 transcription factor 4/12
dre:569946	trpm1b, zgc:162329; transient receptor potential cation channel, subfamily M, member 1b
dre:563814	tmem201, zgc:162289; transmembrane protein 201
dre:114424	cdh1, E-cadherin; cadherin 1, type 1, E-cadherin (epithelial); K05689 cadherin 1, type 1, E-cadherin
dre:560522	hnrnpd, wu:fa28b06, zgc:162951; heterogeneous nuclear ribonucleoprotein D; K13044 heterogeneous nuclear ribonucleoprotein A/B/D
dre:568213	tesk2, zgc:158349; testis-specific kinase 2 (EC:2.7.12.1); K08842 testis-specific kinase 2 [EC:2.7.12.1]
dre:114430	irx1b, iro1, ziro1; iroquois homeobox 1b
dre:574008	si:dkey-57c15.6; zgc:112302
dre:794783	zgc:162150
dre:114437	spry4, cb511, sprouty4, wu:fb92b06, zSpry4; sprouty homolog 4 (Drosophila); K17385 protein sprouty homolog 4
dre:574009	alpi.2, si:ch211-262h13.2, wu:fb68b10, zgc:110409; alkaline phosphatase, intestinal, tandem duplicate 2 (EC:3.1.3.1); K01077 alkaline phosphatase [EC:3.1.3.1]
dre:406712	pias4a, pias4, piasy, wu:fc54c11, wu:fi18c10, wu:fi20e09, wu:fk93f11, zgc:66410; protein inhibitor of activated STAT, 4a; K16065 E3 SUMO-protein ligase PIAS4
dre:558500	oxnad1, si:ch211-155k24.7; oxidoreductase NAD-binding domain containing 1
dre:449647	taf1b, TAFI63, si:dkey-81b15.4, zgc:110402; TATA box binding protein (Tbp)-associated factor, RNA polymerase I, B; K15213 TATA box-binding protein-associated factor RNA polymerase I subunit B
dre:60632	wnt3a, Zwnt[a], wnt3, wnt3_l, wnt3l, wnt[a]; wingless-type MMTV integration site family, member 3A; K00312 wingless-type MMTV integration site family, member 3
dre:114439	zp2.3, zp2, zp2b; zona pellucida glycoprotein 2, tandem duplicate 3
dre:114442	ncam1b, ncam3, zPCAM; neural cell adhesion molecule 1b; K06491 neural cell adhesion molecule
dre:553511	tmeff1b, fb53c10, tmeff1, wu:fb53c10, zgc:110069; transmembrane protein with EGF-like and two follistatin-like domains 1b
dre:322571	rpl3, wu:fa99g02, wu:fb65e09, zgc:110350; ribosomal protein L3; K02925 large subunit ribosomal protein L3e
dre:563648	dnai2a, zgc:162235; dynein, axonemal, intermediate chain 2a; K11143 dynein intermediate chain 2, axonemal
dre:553534	nsun3, im:7142194, zgc:109983; NOP2/Sun domain family, member 3 (EC:2.1.1.-)
dre:568256	asmt2, asmt, zgc:162232; acetylserotonin O-methyltransferase 2 (EC:2.1.1.4)
