mmu:106740	no KO assigned | (RefSeq) uncharacterized LOC106740
mmu:102632550	no KO assigned | (RefSeq) Gm30595; predicted gene, 30595
mmu:105245323	no KO assigned | (RefSeq) Gm40798; predicted gene, 40798
mmu:105245324	no KO assigned | (RefSeq) Gm40799; predicted gene, 40799
mmu:108167762	no KO assigned | (RefSeq) uncharacterized LOC108167762
mmu:108167763	no KO assigned | (RefSeq) uncharacterized LOC108167763
mmu:102632786	no KO assigned | (RefSeq) Gm20492; predicted gene 20492
mmu:105245325	no KO assigned | (RefSeq) Gm40800; predicted gene, 40800
mmu:102632898	no KO assigned | (RefSeq) Gm16230, OTTMUSG00000031895; predicted gene 16230
mmu:105245328	no KO assigned | (RefSeq) uncharacterized LOC105245328
mmu:102633204	no KO assigned | (RefSeq) Gm31091; predicted gene, 31091
mmu:105245330	no KO assigned | (RefSeq) Gm40804; predicted gene, 40804
mmu:105245331	no KO assigned | (RefSeq) Gm40805; predicted gene, 40805
mmu:102633407	no KO assigned | (RefSeq) Gm26847; predicted gene, 26847
mmu:102633754	no KO assigned | (RefSeq) Gm31504; predicted gene, 31504
mmu:102633634	no KO assigned | (RefSeq) Gm26876; predicted gene, 26876
mmu:108167764	no KO assigned | (RefSeq) uncharacterized LOC108167764
mmu:77699	no KO assigned | (RefSeq) 9030616G12Rik; RIKEN cDNA 9030616G12 gene
mmu:675294	no KO assigned | (RefSeq) Gm9639; predicted gene 9639
mmu:100041224	no KO assigned | (RefSeq) Gm3213; predicted gene 3213
mmu:100039992	no KO assigned | (RefSeq) Gm2539; predicted gene, 2539
mmu:102632470	no KO assigned | (RefSeq) Gm30534; predicted gene, 30534
mmu:102632693	no KO assigned | (RefSeq) Gm30698; predicted gene, 30698
mmu:102638854	no KO assigned | (RefSeq) Gm15934, OTTMUSG00000027972; predicted gene 15934
mmu:791309	no KO assigned | (RefSeq) Gm9919, Gm19459; predicted gene 9919
mmu:100039284	no KO assigned | (RefSeq) Gm2137; predicted gene 2137
mmu:258224	K04257 olfactory receptor | (RefSeq) Olfr1358, MOR267-9; olfactory receptor 1358
mmu:210583	no KO assigned | (RefSeq) Gm4767, EG210583; predicted gene 4767
mmu:105245236	no KO assigned | (RefSeq) zinc finger protein 120-like
mmu:102640833	no KO assigned | (RefSeq) Gm36807; predicted gene, 36807
mmu:414105	no KO assigned | (RefSeq) 4732465J04Rik; RIKEN cDNA 4732465J04 gene
mmu:102637507	no KO assigned | (RefSeq) Gm34298; predicted gene, 34298
mmu:105245278	no KO assigned | (RefSeq) Gm40755; predicted gene, 40755
mmu:666584	K09228 KRAB domain-containing zinc finger protein | (RefSeq) cDNA sequence BC024063
mmu:102635315	no KO assigned | (RefSeq) Gm32687; predicted gene, 32687
mmu:102636264	no KO assigned | (RefSeq) Gm33378; predicted gene, 33378
mmu:102634174	no KO assigned | (RefSeq) Gm16104, OTTMUSG00000030418; predicted gene 16104
mmu:102635133	no KO assigned | (RefSeq) uncharacterized LOC102635133
mmu:102634102	no KO assigned | (RefSeq) Gm31764; predicted gene, 31764
mmu:102634443	no KO assigned | (RefSeq) Gm32024; predicted gene, 32024
mmu:108167777	no KO assigned | (RefSeq) uncharacterized LOC108167777
mmu:105245241	no KO assigned | (RefSeq) Gm15608, OTTMUSG00000024297; predicted gene 15608
mmu:105245239	no KO assigned | (RefSeq) Gm40720; predicted gene, 40720
mmu:102634328	no KO assigned | (RefSeq) Gm31936; predicted gene, 31936
mmu:100043039	K07342 protein transport protein SEC61 subunit gamma and related proteins | (RefSeq) Gm4184; predicted gene 4184
mmu:102632515	no KO assigned | (RefSeq) Gm30570; predicted gene, 30570
mmu:102632579	no KO assigned | (RefSeq) Gm30617; predicted gene, 30617
mmu:102633712	no KO assigned | (RefSeq) Gm31471; predicted gene, 31471
mmu:105245107	no KO assigned | (RefSeq) Gm40601; predicted gene, 40601
mmu:102634553	no KO assigned | (RefSeq) Gm32105; predicted gene, 32105
mmu:102634635	no KO assigned | (RefSeq) Gm32172; predicted gene, 32172
mmu:105245109	no KO assigned | (RefSeq) Gm40603; predicted gene, 40603
mmu:73605	no KO assigned | (RefSeq) 1700124M09Rik; RIKEN cDNA 1700124M09 gene
mmu:105245113	no KO assigned | (RefSeq) Gm40607; predicted gene, 40607
mmu:102636447	no KO assigned | (RefSeq) Gm33510; predicted gene, 33510
mmu:102638600	no KO assigned | (RefSeq) Gm35126; predicted gene, 35126
mmu:102638669	no KO assigned | (RefSeq) Gm35179; predicted gene, 35179
mmu:102638815	no KO assigned | (RefSeq) Gm35291; predicted gene, 35291
mmu:102631969	no KO assigned | (RefSeq) Gm30165; predicted gene, 30165
mmu:102632055	no KO assigned | (RefSeq) Gm30228; predicted gene, 30228
mmu:100040961	no KO assigned | (RefSeq) Gm10145; predicted gene 10145
mmu:105245128	no KO assigned | (RefSeq) Gm40622; predicted gene, 40622
mmu:102632655	no KO assigned | (RefSeq) Gm30676; predicted gene, 30676
mmu:102633108	no KO assigned | (RefSeq) Gm31016; predicted gene, 31016
mmu:105245129	no KO assigned | (RefSeq) Gm40623; predicted gene, 40623
mmu:102633522	no KO assigned | (RefSeq) Gm31330; predicted gene, 31330
mmu:102633590	no KO assigned | (RefSeq) Gm31378; predicted gene, 31378
mmu:105245130	no KO assigned | (RefSeq) Gm40624; predicted gene, 40624
mmu:105245133	no KO assigned | (RefSeq) Gm40626; predicted gene, 40626
mmu:102634782	no KO assigned | (RefSeq) Gm32284; predicted gene, 32284
mmu:102634851	no KO assigned | (RefSeq) Gm32338; predicted gene, 32338
mmu:102634952	no KO assigned | (RefSeq) Gm32411; predicted gene, 32411
mmu:102636999	no KO assigned | (RefSeq) Gm33916; predicted gene, 33916
mmu:105245142	no KO assigned | (RefSeq) Gm40635; predicted gene, 40635
mmu:71638	no KO assigned | (RefSeq) 4930431F10Rik; RIKEN cDNA 4930431F10 gene
mmu:105245145	no KO assigned | (RefSeq) Gm40638; predicted gene, 40638
mmu:105245146	no KO assigned | (RefSeq) Gm40639; predicted gene, 40639
mmu:102639008	no KO assigned | (RefSeq) Gm35430; predicted gene, 35430
mmu:105245147	no KO assigned | (RefSeq) Gm40640; predicted gene, 40640
mmu:105245149	no KO assigned | (RefSeq) Gm40642; predicted gene, 40642
mmu:102639285	no KO assigned | (RefSeq) Gm35632; predicted gene, 35632
mmu:102639658	no KO assigned | (RefSeq) Gm35917; predicted gene, 35917
mmu:105245154	no KO assigned | (RefSeq) Gm40646; predicted gene, 40646
mmu:102639851	no KO assigned | (RefSeq) Gm36065; predicted gene, 36065
mmu:105245157	no KO assigned | (RefSeq) Gm40649; predicted gene, 40649
mmu:102639992	no KO assigned | (RefSeq) Gm36173; predicted gene, 36173
mmu:102640074	no KO assigned | (RefSeq) Gm36229; predicted gene, 36229
mmu:105245159	no KO assigned | (RefSeq) Gm40651; predicted gene, 40651
mmu:102640213	no KO assigned | (RefSeq) Gm36335; predicted gene, 36335
mmu:102640461	no KO assigned | (RefSeq) Gm36517; predicted gene, 36517
mmu:102640785	no KO assigned | (RefSeq) Gm36769; predicted gene, 36769
mmu:105245160	no KO assigned | (RefSeq) Gm40652; predicted gene, 40652
mmu:102639969	no KO assigned | (RefSeq) Gm36158; predicted gene, 36158
mmu:105245184	no KO assigned | (RefSeq) Gm40672; predicted gene, 40672
mmu:102632700	no KO assigned | (RefSeq) Gm28881; predicted gene 28881
mmu:102632897	no KO assigned | (RefSeq) Gm30853; predicted gene, 30853
mmu:105245190	no KO assigned | (RefSeq) Gm40677; predicted gene, 40677
mmu:102633406	no KO assigned | (RefSeq) Gm31240; predicted gene, 31240
mmu:108167782	no KO assigned | (RefSeq) uncharacterized LOC108167782
mmu:102634442	no KO assigned | (RefSeq) Gm32023; predicted gene, 32023
mmu:105245195	no KO assigned | (RefSeq) Gm40681; predicted gene, 40681
mmu:75067	no KO assigned | (RefSeq) 4930521O17Rik; RIKEN cDNA 4930521O17 gene
mmu:102635644	no KO assigned | (RefSeq) Gm32931; predicted gene, 32931
mmu:105245198	no KO assigned | (RefSeq) Gm40684; predicted gene, 40684
mmu:105245199	no KO assigned | (RefSeq) Gm40685; predicted gene, 40685
mmu:105245203	no KO assigned | (RefSeq) Gm40689; predicted gene, 40689
mmu:102637756	no KO assigned | (RefSeq) Gm34486; predicted gene, 34486
mmu:102637834	no KO assigned | (RefSeq) Gm34544; predicted gene, 34544
mmu:105245205	no KO assigned | (RefSeq) Gm40690; predicted gene, 40690
mmu:102637916	no KO assigned | (RefSeq) Gm34609; predicted gene, 34609
mmu:105245209	no KO assigned | (RefSeq) Gm40694; predicted gene, 40694
mmu:102639255	no KO assigned | (RefSeq) Gm35608; predicted gene, 35608
mmu:102639326	no KO assigned | (RefSeq) Gm35664; predicted gene, 35664
mmu:102639662	no KO assigned | (RefSeq) Gm35920; predicted gene, 35920
mmu:102639743	no KO assigned | (RefSeq) Gm35983; predicted gene, 35983
mmu:102631793	no KO assigned | (RefSeq) Gm30039; predicted gene, 30039
mmu:105245232	no KO assigned | (RefSeq) Gm40716; predicted gene, 40716
mmu:102636812	no KO assigned | (RefSeq) Gm33781; predicted gene, 33781
mmu:102637003	no KO assigned | (RefSeq) Gm33919; predicted gene, 33919
mmu:102637078	no KO assigned | (RefSeq) Gm33980; predicted gene, 33980
mmu:105245248	no KO assigned | (RefSeq) Gm40727; predicted gene, 40727
mmu:108167783	no KO assigned | (RefSeq) uncharacterized LOC108167783
mmu:105245251	no KO assigned | (RefSeq) Gm40730; predicted gene, 40730
mmu:102638057	no KO assigned | (RefSeq) Gm34712; predicted gene, 34712
mmu:102631620	no KO assigned | (RefSeq) Gm29915; predicted gene, 29915
mmu:102633753	no KO assigned | (RefSeq) uncharacterized LOC102633753
mmu:105245258	no KO assigned | (RefSeq) Gm40736; predicted gene, 40736
mmu:102633980	no KO assigned | (RefSeq) Gm31673; predicted gene, 31673
mmu:102634175	no KO assigned | (RefSeq) Gm31822; predicted gene, 31822
mmu:105245262	no KO assigned | (RefSeq) Gm40740; predicted gene, 40740
mmu:105245264	no KO assigned | (RefSeq) Gm40742; predicted gene, 40742
mmu:102636201	no KO assigned | (RefSeq) Gm33336; predicted gene, 33336
mmu:105245268	no KO assigned | (RefSeq) Gm40746; predicted gene, 40746
mmu:105245270	no KO assigned | (RefSeq) Gm40748; predicted gene, 40748
mmu:102637079	no KO assigned | (RefSeq) Gm33981; predicted gene, 33981
mmu:102637160	no KO assigned | (RefSeq) Gm34044; predicted gene, 34044
mmu:105245271	no KO assigned | (RefSeq) Gm40749; predicted gene, 40749
mmu:102637506	no KO assigned | (RefSeq) Gm34297; predicted gene, 34297
mmu:105245273	no KO assigned | (RefSeq) Gm40750; predicted gene, 40750
mmu:102639396	no KO assigned | (RefSeq) Gm35722; predicted gene, 35722
mmu:105245274	no KO assigned | (RefSeq) Gm40751; predicted gene, 40751
mmu:105245275	no KO assigned | (RefSeq) Gm40752; predicted gene, 40752
mmu:105245276	no KO assigned | (RefSeq) Gm40753; predicted gene, 40753
mmu:102640759	no KO assigned | (RefSeq) Gm36751; predicted gene, 36751
mmu:102631942	no KO assigned | (RefSeq) Gm30145; predicted gene, 30145
mmu:105245286	no KO assigned | (RefSeq) Gm40762; predicted gene, 40762
mmu:102632012	no KO assigned | (RefSeq) Gm30193; predicted gene, 30193
mmu:105245287	no KO assigned | (RefSeq) Gm40763; predicted gene, 40763
mmu:105245288	no KO assigned | (RefSeq) Gm40764; predicted gene, 40764
mmu:100042639	no KO assigned | (RefSeq) Gm3942; predicted gene 3942
mmu:105245289	no KO assigned | (RefSeq) Gm40765; predicted gene, 40765
mmu:102633160	no KO assigned | (RefSeq) Gm31058; predicted gene, 31058
mmu:668041	no KO assigned | (RefSeq) Gm8942, EG668041; predicted gene 8942
mmu:102633950	no KO assigned | (RefSeq) Gm26579; predicted gene, 26579
mmu:102634600	no KO assigned | (RefSeq) Gm32141; predicted gene, 32141
mmu:102634717	no KO assigned | (RefSeq) Gm32235; predicted gene, 32235
mmu:102634825	no KO assigned | (RefSeq) Gm32319; predicted gene, 32319
mmu:102634889	no KO assigned | (RefSeq) Gm32365; predicted gene, 32365
mmu:105245300	no KO assigned | (RefSeq) Gm40775; predicted gene, 40775
mmu:105245301	no KO assigned | (RefSeq) Gm40776; predicted gene, 40776
mmu:102637080	no KO assigned | (RefSeq) Gm33982; predicted gene, 33982
mmu:102638370	no KO assigned | (RefSeq) Gm34952; predicted gene, 34952
mmu:102638604	no KO assigned | (RefSeq) Gm35130; predicted gene, 35130
mmu:102638675	no KO assigned | (RefSeq) Gm35182; predicted gene, 35182
mmu:105245309	no KO assigned | (RefSeq) Gm40784; predicted gene, 40784
mmu:102642038	no KO assigned | (RefSeq) uncharacterized LOC102642038
mmu:74647	no KO assigned | (RefSeq) 4930432O09Rik; RIKEN cDNA 4930432O09 gene
mmu:102638971	no KO assigned | (RefSeq) Gm35404; predicted gene, 35404
mmu:108167786	no KO assigned | (RefSeq) uncharacterized LOC108167786
mmu:102639587	no KO assigned | (RefSeq) Gm35865; predicted gene, 35865
mmu:105245316	no KO assigned | (RefSeq) Gm40791; predicted gene, 40791
mmu:102640603	no KO assigned | (RefSeq) Gm36628; predicted gene, 36628
mmu:102640718	no KO assigned | (RefSeq) Gm36719; predicted gene, 36719
mmu:102640788	no KO assigned | (RefSeq) Gm36771; predicted gene, 36771
mmu:108167787	no KO assigned | (RefSeq) uncharacterized LOC108167787
mmu:105245320	no KO assigned | (RefSeq) Gm40795; predicted gene, 40795
mmu:102640938	no KO assigned | (RefSeq) Gm36884; predicted gene, 36884
mmu:105245321	no KO assigned | (RefSeq) Gm40796; predicted gene, 40796
mmu:102631661	no KO assigned | (RefSeq) Gm29944; predicted gene, 29944
mmu:66334	no KO assigned | (RefSeq) 1700025K04Rik; RIKEN cDNA 1700025K04 gene
mmu:105245322	no KO assigned | (RefSeq) Gm40797; predicted gene, 40797
mmu:102632364	no KO assigned | (RefSeq) Gm30456; predicted gene, 30456
mmu:105245327	no KO assigned | (RefSeq) Gm40802; predicted gene, 40802
mmu:105245332	no KO assigned | (RefSeq) Gm40806; predicted gene, 40806
mmu:108167789	no KO assigned | (RefSeq) olfactory receptor 10C1-like
mmu:108167790	no KO assigned | (RefSeq) uncharacterized LOC108167790
mmu:105245305	no KO assigned | (RefSeq) Gm40780; predicted gene, 40780
mmu:105245303	no KO assigned | (RefSeq) Gm40778; predicted gene, 40778
mmu:215728	no KO assigned | (RefSeq) 9230019H11Rik; RIKEN cDNA 9230019H11 gene
mmu:105245092	no KO assigned | (RefSeq) Gm40590; predicted gene, 40590
mmu:102631504	no KO assigned | (RefSeq) Gm29826; predicted gene, 29826
mmu:102631579	no KO assigned | (RefSeq) Gm26752; predicted gene, 26752
mmu:102631718	no KO assigned | (RefSeq) Gm29987; predicted gene, 29987
mmu:102631785	no KO assigned | (RefSeq) Gm30033; predicted gene, 30033
mmu:102632053	no KO assigned | (RefSeq) uncharacterized LOC102632053
mmu:102631968	no KO assigned | (RefSeq) Gm30164; predicted gene, 30164
mmu:105245093	no KO assigned | (RefSeq) Gm40591; predicted gene, 40591
mmu:105245094	no KO assigned | (RefSeq) Gm40592; predicted gene, 40592
mmu:105245096	no KO assigned | (RefSeq) Gm40594; predicted gene, 40594
mmu:105245097	no KO assigned | (RefSeq) Gm40595; predicted gene, 40595
mmu:108167791	no KO assigned | (RefSeq) uncharacterized LOC108167791
mmu:105245099	no KO assigned | (RefSeq) Gm40597; predicted gene, 40597
mmu:102632778	no KO assigned | (RefSeq) uncharacterized LOC102632778
mmu:102632856	no KO assigned | (RefSeq) Gm30820; predicted gene, 30820
mmu:102633038	no KO assigned | (RefSeq) Gm30959; predicted gene, 30959
mmu:102632964	no KO assigned | (RefSeq) Gm30906; predicted gene, 30906
mmu:102633239	no KO assigned | (RefSeq) uncharacterized LOC102633239
mmu:105245105	no KO assigned | (RefSeq) uncharacterized LOC105245105
mmu:105245106	no KO assigned | (RefSeq) Gm40600; predicted gene, 40600
mmu:108167793	no KO assigned | (RefSeq) uncharacterized LOC108167793
mmu:102633974	no KO assigned | (RefSeq) Gm28905; predicted gene 28905
mmu:102634128	no KO assigned | (RefSeq) uncharacterized LOC102634128
mmu:102634282	no KO assigned | (RefSeq) Gm31904; predicted gene, 31904
mmu:105245108	no KO assigned | (RefSeq) Gm40602; predicted gene, 40602
mmu:108167794	no KO assigned | (RefSeq) uncharacterized LOC108167794
mmu:108167795	no KO assigned | (RefSeq) uncharacterized LOC108167795
mmu:105245110	no KO assigned | (RefSeq) Gm40604; predicted gene, 40604
mmu:102634781	no KO assigned | (RefSeq) Gm32283; predicted gene, 32283
mmu:102635124	no KO assigned | (RefSeq) Gm32543; predicted gene, 32543
mmu:102635274	no KO assigned | (RefSeq) Gm32656; predicted gene, 32656
mmu:102635429	no KO assigned | (RefSeq) Gm20655; predicted gene 20655
mmu:102635572	no KO assigned | (RefSeq) Gm38480; predicted gene, 38480
mmu:102635639	no KO assigned | (RefSeq) Gm32926; predicted gene, 32926
mmu:102635880	no KO assigned | (RefSeq) Gm33104; predicted gene, 33104
mmu:102636197	no KO assigned | (RefSeq) Gm33332; predicted gene, 33332
mmu:108167796	no KO assigned | (RefSeq) uncharacterized LOC108167796
mmu:108167797	no KO assigned | (RefSeq) uncharacterized LOC108167797
mmu:100504283	no KO assigned | (RefSeq) Gm20149; predicted gene, 20149
mmu:105245114	no KO assigned | (RefSeq) Gm40608; predicted gene, 40608
mmu:102636600	no KO assigned | (RefSeq) Gm33619; predicted gene, 33619
mmu:102636668	no KO assigned | (RefSeq) Gm33671; predicted gene, 33671
mmu:102636738	no KO assigned | (RefSeq) Gm33728; predicted gene, 33728
mmu:102636847	no KO assigned | (RefSeq) Gm33803; predicted gene, 33803
mmu:102637034	no KO assigned | (RefSeq) Gm33945; predicted gene, 33945
mmu:102636967	no KO assigned | (RefSeq) Gm33892; predicted gene, 33892
mmu:628133	no KO assigned | (RefSeq) Platr6, Gm6846; pluripotency associated transcript 6
mmu:108167798	no KO assigned | (RefSeq) uncharacterized LOC108167798
mmu:102637464	no KO assigned | (RefSeq) Gm34267; predicted gene, 34267
mmu:102637787	no KO assigned | (RefSeq) Gm26740; predicted gene, 26740
mmu:108167355	no KO assigned | (RefSeq) uncharacterized LOC108167355
mmu:102637913	no KO assigned | (RefSeq) Gm34607; predicted gene, 34607
mmu:102637976	no KO assigned | (RefSeq) Gm34656; predicted gene, 34656
mmu:105245116	no KO assigned | (RefSeq) Gm40610; predicted gene, 40610
mmu:105245118	no KO assigned | (RefSeq) Gm40612; predicted gene, 40612
mmu:108167799	no KO assigned | (RefSeq) uncharacterized LOC108167799
mmu:100038582	no KO assigned | (RefSeq) Gm10824; predicted gene 10824
mmu:108167800	no KO assigned | (RefSeq) uncharacterized LOC108167800
mmu:105245120	no KO assigned | (RefSeq) Gm40614; predicted gene, 40614
mmu:102638890	no KO assigned | (RefSeq) uncharacterized LOC102638890
mmu:102639883	no KO assigned | (RefSeq) Gm36089; predicted gene, 36089
mmu:105245121	no KO assigned | (RefSeq) Gm40615; predicted gene, 40615
mmu:102639991	no KO assigned | (RefSeq) Gm36172; predicted gene, 36172
mmu:105245122	no KO assigned | (RefSeq) Gm40616; predicted gene, 40616
mmu:102640072	no KO assigned | (RefSeq) Gm36228; predicted gene, 36228
mmu:108167801	no KO assigned | (RefSeq) uncharacterized LOC108167801
mmu:105245123	no KO assigned | (RefSeq) Gm40617; predicted gene, 40617
mmu:102640184	no KO assigned | (RefSeq) Gm36313; predicted gene, 36313
mmu:102640498	no KO assigned | (RefSeq) Gm36543; predicted gene, 36543
mmu:102640972	no KO assigned | (RefSeq) Gm36908; predicted gene, 36908
mmu:102631786	no KO assigned | (RefSeq) Gm30034; predicted gene, 30034
mmu:105245124	no KO assigned | (RefSeq) Gm40618; predicted gene, 40618
mmu:108167802	no KO assigned | (RefSeq) uncharacterized LOC108167802
mmu:105245127	no KO assigned | (RefSeq) Gm40621; predicted gene, 40621
mmu:105245126	no KO assigned | (RefSeq) Gm40620; predicted gene, 40620
mmu:108167803	no KO assigned | (RefSeq) uncharacterized LOC108167803
mmu:102632580	no KO assigned | (RefSeq) Gm30618; predicted gene, 30618
mmu:102632938	no KO assigned | (RefSeq) Gm15939, OTTMUSG00000028010; predicted gene 15939
mmu:102633007	no KO assigned | (RefSeq) Gm26564; predicted gene, 26564
mmu:100040846	no KO assigned | (RefSeq) 5930403N24Rik, Gm16524; RIKEN cDNA 5930403N24 gene
mmu:102633435	no KO assigned | (RefSeq) Gm26535; predicted gene, 26535
mmu:102633358	no KO assigned | (RefSeq) Gm31202; predicted gene, 31202
mmu:108167804	no KO assigned | (RefSeq) uncharacterized LOC108167804
mmu:105245131	no KO assigned | (RefSeq) Gm40625; predicted gene, 40625
mmu:102633831	no KO assigned | (RefSeq) Gm31562; predicted gene, 31562
mmu:102634129	no KO assigned | (RefSeq) Gm16365, OTTMUSG00000034132; predicted gene 16365
mmu:100504626	no KO assigned | (RefSeq) Gm16364, OTTMUSG00000034131; predicted gene 16364
mmu:102633901	no KO assigned | (RefSeq) Gm31616; predicted gene, 31616
mmu:105245134	no KO assigned | (RefSeq) Gm40627; predicted gene, 40627
mmu:75299	no KO assigned | (RefSeq) 4930547M16Rik; RIKEN cDNA 4930547M16 gene
mmu:102634208	no KO assigned | (RefSeq) Gm31848; predicted gene, 31848
mmu:102634321	no KO assigned | (RefSeq) Gm31930; predicted gene, 31930
mmu:102634400	no KO assigned | (RefSeq) Gm31992; predicted gene, 31992
mmu:102634715	no KO assigned | (RefSeq) Gm32234; predicted gene, 32234
mmu:633979	K18533 adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6] | (RefSeq) Ak9, Akd1, Akd2, Gm234, Gm7127; adenylate kinase 9
mmu:108167806	no KO assigned | (RefSeq) uncharacterized LOC108167806
mmu:75561	no KO assigned | (RefSeq) 1700016J18Rik; RIKEN cDNA 1700016J18 gene
mmu:100196896	no KO assigned | (RefSeq) cDNA sequence BC048559
mmu:102635812	no KO assigned | (RefSeq) Gm33058; predicted gene, 33058
mmu:105245137	no KO assigned | (RefSeq) Gm40630; predicted gene, 40630
mmu:102636048	no KO assigned | (RefSeq) Gm38485; predicted gene, 38485
mmu:102636198	no KO assigned | (RefSeq) Gm33333; predicted gene, 33333
mmu:102636808	no KO assigned | (RefSeq) Gm38491; predicted gene, 38491
mmu:102636919	no KO assigned | (RefSeq) Gm15199, OTTMUSG00000019464; predicted gene 15199
mmu:102637112	no KO assigned | (RefSeq) Gm34006; predicted gene, 34006
mmu:327749	no KO assigned | (RefSeq) Gm5079, C230040G06; predicted gene 5079
mmu:105245138	no KO assigned | (RefSeq) Gm40631; predicted gene, 40631
mmu:105245139	no KO assigned | (RefSeq) Gm40632; predicted gene, 40632
mmu:102637750	no KO assigned | (RefSeq) Gm34481; predicted gene, 34481
mmu:105245141	no KO assigned | (RefSeq) Gm40634; predicted gene, 40634
mmu:105245143	no KO assigned | (RefSeq) Gm40636; predicted gene, 40636
mmu:105245144	no KO assigned | (RefSeq) Gm40637; predicted gene, 40637
mmu:102638474	no KO assigned | (RefSeq) Gm35028; predicted gene, 35028
mmu:102638637	no KO assigned | (RefSeq) Gm35154; predicted gene, 35154
mmu:100125933	no KO assigned | (RefSeq) 2310075K07Rik; RIKEN cDNA 2310075K07 gene
mmu:102638929	no KO assigned | (RefSeq) Gm35372; predicted gene, 35372
mmu:102639181	no KO assigned | (RefSeq) Gm35552; predicted gene, 35552
mmu:108167809	no KO assigned | (RefSeq) uncharacterized LOC108167809
mmu:105245150	no KO assigned | (RefSeq) Gm40643; predicted gene, 40643
mmu:105245152	no KO assigned | (RefSeq) uncharacterized LOC105245152
mmu:105245153	no KO assigned | (RefSeq) Gm40645; predicted gene, 40645
mmu:108167810	no KO assigned | (RefSeq) uncharacterized LOC108167810
mmu:102639925	no KO assigned | (RefSeq) Gm36123; predicted gene, 36123
mmu:105245155	no KO assigned | (RefSeq) Gm40647; predicted gene, 40647
mmu:108167811	no KO assigned | (RefSeq) uncharacterized LOC108167811
mmu:105245158	no KO assigned | (RefSeq) Gm40650; predicted gene, 40650
mmu:102640143	no KO assigned | (RefSeq) Gm36280; predicted gene, 36280
mmu:100042554	no KO assigned | (RefSeq) Gm3902; predicted gene 3902
mmu:102640390	no KO assigned | (RefSeq) Gm36460; predicted gene, 36460
mmu:102640560	no KO assigned | (RefSeq) Gm36595; predicted gene, 36595
mmu:102640859	no KO assigned | (RefSeq) Gm36827; predicted gene, 36827
mmu:100504180	no KO assigned | (RefSeq) double homeobox protein 4-like
mmu:74399	no KO assigned | (RefSeq) Duxf3, 4933403O03Rik; double homeobox family member 3
mmu:105245180	no KO assigned | (RefSeq) Gm40668; predicted gene, 40668
mmu:102640108	no KO assigned | (RefSeq) Gm36257; predicted gene, 36257
mmu:105245181	no KO assigned | (RefSeq) Gm40669; predicted gene, 40669
mmu:105245182	no KO assigned | (RefSeq) Gm40670; predicted gene, 40670
mmu:102640190	no KO assigned | (RefSeq) Gm36318; predicted gene, 36318
mmu:105245183	no KO assigned | (RefSeq) Gm40671; predicted gene, 40671
mmu:102640356	no KO assigned | (RefSeq) Gm17059; predicted gene 17059
mmu:108167812	no KO assigned | (RefSeq) uncharacterized LOC108167812
mmu:105245185	no KO assigned | (RefSeq) Gm40673; predicted gene, 40673
mmu:102640832	no KO assigned | (RefSeq) Gm26947; predicted gene, 26947
mmu:102640758	no KO assigned | (RefSeq) Gm36750; predicted gene, 36750
mmu:108167813	no KO assigned | (RefSeq) uncharacterized LOC108167813
mmu:102631552	no KO assigned | (RefSeq) Gm29861; predicted gene, 29861
mmu:108167814	no KO assigned | (RefSeq) uncharacterized LOC108167814
mmu:102631904	no KO assigned | (RefSeq) Gm30121; predicted gene, 30121
mmu:105245187	no KO assigned | (RefSeq) Gm40674; predicted gene, 40674
mmu:105245188	no KO assigned | (RefSeq) Gm40675; predicted gene, 40675
mmu:102632178	no KO assigned | (RefSeq) Gm30322; predicted gene, 30322
mmu:102632251	no KO assigned | (RefSeq) Gm16143, OTTMUSG00000030902; predicted gene 16143
mmu:102632617	no KO assigned | (RefSeq) Gm30644; predicted gene, 30644
mmu:102633158	no KO assigned | (RefSeq) Gm31056; predicted gene, 31056
mmu:105245191	no KO assigned | (RefSeq) Gm40678; predicted gene, 40678
mmu:68488	no KO assigned | (RefSeq) 1110002J07Rik; RIKEN cDNA 1110002J07 gene
mmu:102633633	no KO assigned | (RefSeq) Gm31416; predicted gene, 31416
mmu:108167815	no KO assigned | (RefSeq) uncharacterized LOC108167815
mmu:108167816	no KO assigned | (RefSeq) uncharacterized LOC108167816
mmu:108167817	no KO assigned | (RefSeq) uncharacterized LOC108167817
mmu:102634362	no KO assigned | (RefSeq) Gm31962; predicted gene, 31962
mmu:102634748	no KO assigned | (RefSeq) Gm32255; predicted gene, 32255
mmu:105245192	no KO assigned | (RefSeq) Gm40679; predicted gene, 40679
mmu:102634639	no KO assigned | (RefSeq) Gm32176; predicted gene, 32176
mmu:102634888	no KO assigned | (RefSeq) Gm32364; predicted gene, 32364
mmu:105245193	no KO assigned | (RefSeq) uncharacterized LOC105245193
mmu:102634989	no KO assigned | (RefSeq) Gm32438; predicted gene, 32438
mmu:105245194	no KO assigned | (RefSeq) Gm40680; predicted gene, 40680
mmu:102635092	no KO assigned | (RefSeq) Gm32515; predicted gene, 32515
mmu:102635169	no KO assigned | (RefSeq) uncharacterized LOC102635169
mmu:102635395	no KO assigned | (RefSeq) Gm32748; predicted gene, 32748
mmu:102635578	no KO assigned | (RefSeq) Gm32872; predicted gene, 32872
mmu:105245197	no KO assigned | (RefSeq) Gm40683; predicted gene, 40683
